index,tweet,label
2874,Grace: this is my barf bag.|Me: why do you have a barf bag? |Grace: because sometimes when i see people i feel like vomiting.,0
2162,Well today has just started off great. #not,1
871,wow what great banter from @WillHart2014 #sarcasm,1
2221,It's a Christmas miracle!||#NOT http://t.co/3X7cxklIPu,1
729,@C_DLord @C_CWilson1 Lovely on Carnoustie beach this morning...|#not #soggybreeks,1
3604,"As Lamar Entertainment, putting more money in than I'm making, #tbt #not having the right team... http://t.co/jZfrSfXSbo",0
537,http://t.co/OoDCAadwux #TeenAnalCasting #Alice Alice and Dana -TLW 3X05 Part 2,0
883,Is holding not a rule anymore?,0
2160,It could be a Jihadist ?Hello!! It is Jihadist's Radical Islamists! TERRORISTS!|#sydneysiege #Daesh,0
477,Loving life. #sarcasm,1
3762,It's the most wonderful time of the fiscal year :(|#sarcasm,1
1861,Library computer has frozen again #shocker #not,1
1575,The BOLD BAKERY by Sarah-Brockett #bakery #sarcasm http://t.co/zl5zxAD62Z,1
717,@iamgiant would wear this #proudly... size #NZ hahaha,0
2131,*looks at blackboard*|*calls life alert*|Help my grades have fallen and they can't get up,0
194,Don't forget to join @midtown_1015 for #Steak Night tonight starting at 4pm! #nyc #food #foodie,0
1844,"A MAN MUST HAVE (3) F's TO GET a A IN LIFE: FORTITUDE, FOCUS, & FINANCES. http://t.co/3IY91CxWP0 @AlimHagan",0
1864,Ariana Grandes makeup is always sooo flawless 🙊,0
1084,@muellnerpaul @jamieyuccas @KimJohnsonWCCO @KylieBearseWX don't forget @Ali_Lucia and @AshleyRobertsTV (they're as smart & kind as lovely),0
3136,@HistoricalPics but it has to be fake!! Where are all the stars?? #sarcasm,1
580,@timdobbsphoto Because we need an excuse to pop it open! My dream is McDonalds and Grand Cru. #ChampagneExcuses,0
3329,#IRONY : #BlackOnBlackCrime comitted by|#BlackLivesMatter #Protest in #FERGUSON ?|http://t.co/SEPGzy9Bzb|Post RTs @|http://t.co/OXybfwwWb6,0
1081,"@Spencer_Downey @FFPMMarc ooh, that looks like so much fun! #sarcasm",1
1505,UK PM making sure child abusers are brought to justice. I can assume people will be brought to justice #sarcasm #lies http://t.co/HFlLqWTcrX,1
2201,@cozmando He'd be a perfect fit... or Beachy/Medlen.,0
3501,Perfect way to start off my morning #NOT,1
2210,Air Passenger Duty for under 12s to be abolished. AT LAST! Something to help the homeless and impoverished! #AutumnStatement #Sarcasm,1
201,@Rich_Herrera_4: @pcon34 IT HAS THE WORD MAN IN IT!! Just as sexist as saying mail man instead of mail carrier. #sarcasm #MichiganMan,1
17,Buffalo sports media is smarter than all of us. Where else can you get the quality insight offered by Harrington and Busgaglia. #sarcasm,1
1813,"Digital drumsticks, thanks Grandma and Grandpa #not http://t.co/srMIfk2hWN",1
258,@sammiecurtis_ me and you are the only ones that love it 😆🎅🎉🎶,0
2153,So excited for a whole new episode RHOA love this show!!!!!,0
90,2014 can't end fast enough! Stupid dead battery.,0
2631,"danniella westbrook went to a food bank she should have gone to Iceland, oh yeah she fucked that up too #sarcasm  #freedomofspeech",1
2884,you're so sweet #NOT,1
425,"Ceeeeebz work, allow dat ting fam",0
1854,Couldn't have asked for a better night.,0
3177,Pretty flipping cold outside there today I tell ya what,0
1465,Cluck! RT @DJB627: Most transparent administration ever sends password-protected documents to Oversight. #irony #Gruber,1
1833,Hashtags are great idk why everyone stopped using them #jk #sarcasm #bye,1
257,...but then it started itself and made the Windows noise. So starts this exciting day of mine...! #Not,1
319,Thanks Mother nature.. You didn't give us as snow day and now my twitter is filled with people complaining #irony,1
70,Just delivered @DominiqueAnsel #cronuts to @BouchonBakeryRC hmmm #irony its for a customer I hope!!! http://t.co/KDx0FhVqCW,1
3217,@LOLGOP Fox News criticizing poor journalism regarding the UVA incident is hilarious #irony,1
1239,@XboxSupport even your link to the service alert is down. #irony,1
2599,"Buzzing about going home tonight, back for a month",0
2576,Just watched how Pretzels were made. #interesinglife #not #whatamidoingwithmylife #longesthashtagnotneededbutYOLO,1
1627,@SkyNews Wow! I can now afford that holiday I've always wanted! #sarcasm,1
1534,@Praise1300 Tamir knows Mike Brown raised his hands & was shot dead. He wanted cops to see he had a BB Gun & was still shot dead.,0
3298,@vincent_h3 At 2:30am? Who's gonna favourite it? An owl?,0
3332,@goodgary99 okay went to court the case got adjourned till January.. My backs been playing up so in some pain 😩 wbu? X,0
2703,Oversleeping is the bestttt. #not,1
1529,"the ""2/3=75%"" is also in the top 10 LOL @TimOwensby @RBRNetwork1 @IndyEnigma @CalFreedomMom",0
1724,@mattnewton doesn't get more #indiefilm than #miboxzombie https://t.co/uu7zObVxdG :-),0
3248,@JakePlank24 do you not work at the dirty bird no more?,0
572,@KelseyDPeterson @Get_Merked22 I can sign you in as my guest....,0
3182,@ttwentyman He's just trying to drive Suh's price up. #sarcasm,1
149,http://t.co/nKXYmio8V6 #AnalScreen #Exotic Exotic brunette gets her little tight butt nailed right on the office desk,0
1837,@m1897 haha I also had 2... cheers bro !!!,0
1631,#Irony - the true definition - #Iran hosting a conference against extremist! http://t.co/BT5UJR1Cpa,1
1869,"OK, OK, GEEZ! I KNOW ALREADY! @itzwikipedia @engrossingfacts @mysteriousfact #totally #not #repetetive http://t.co/WKbijSPVtL",0
2529,@KimiNozoGuy @Alison_prime @SportzPunz @IvyTwisted @shitpostman Probably folks like #FullMcIntosh who don't buy games. #irony #gamergate,1
1113,"There's a reason I don't tell my parents anything, cause I always get THE most positive responses #sarcasm",1
87,"dude said I better think hard , so he can take me to cheddars lmao ! #not",1
2989,@98_florence @ConnorMcDonough @TobyMcDonough ||#TSU website now worth $1.5 Million!||people get paid for posting!||http://t.co/OXybfwwWb6,0
2359,#Not long to wait till released CO2 turns up temperature - http://t.co/UFD9oCLFM3 http://t.co/puzJgw2LuE,0
3735,"Nevermind, we're getting worked out there. We need Hump back in the game bc Gooden is playing terribly.",0
16,crushes are great until you realize they'll never be interested in you.|#sarcasm :p,1
3537,I just loooove arguing with the Insurance company. #Not,1
566,@JeffersonLake Are they going for the very original plans now?,0
2666,I just LOVEEEE finals soooo much . And not getting any sleep is the best part about them 😲🔫 #sarcasm,1
197,#QZ8501 asks permission to #takeoff: #towercontrol of #Surubaya: yeah..y can go...away.,0
500,You guys seriously need to try this game https://t.co/wyUHZBcRWj #BananaBonanza,0
449,hahahaha... 'Best Asian Style' went to the group of pretty boys ALL wearing blacks suits with a tie/bow. HOW STYLISH. #sarcasm #2014MAMA,1
2898,Try to ring @heatherbeech about a plumbing issue. Her phone goes off upstairs with Super Mario theme tune #irony #retrogaming,1
195,@andreamarchant @tortugarouge I don't think I've ever seen Love Actually all the way through. I tried once last year. I don't remember it.,0
388,"@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures, yeah it's great #sarcasm",1
1683,#Uniform#not#unity #LMFAIR14,0
1507,"Guru's to newbies, everyone's getting in on this while they can. You need to see it RIGHT NOW http://t.co/Sen6bOk78i",0
3101,@SR_Duncan Someone described it to me as 'passing like a laxette through a budgie' but I can't remember who.,0
3210,A design firm's holiday card skewers corporate jargon.  Hand biting mouth? #jargon #design #sarcasm|http://t.co/CXpE2DWL4J,1
1003,@twitter Please follow me. I have a technical question. Thanks.,0
631,@sollyakhtar @OK_Magazine @Nikki_Grahame1 #whoISshe LOLOL !!,0
3672,Tomorrow will be a great day...#not,1
451,"@TehnDiamond Jonah hill is funny,kevin hart,will smith,jim carrey, Sacha Baron Cohen,",0
1225,#Lebanon #detainee #is #not #ISIS leader's #wife: #Iraqi #official: BAGHDAD – An Iraqi official denied Wednesday... http://t.co/AmRz6zvQTp,0
3442,thts impoxible koz the late kajwangs brother is stil alive and kan occupy the seat but#not raila,0
884,@burninggoats no doubt. And we wonder why Xmas makes ppl crazy?!,0
2809,can you imagine being in high school today with a delusional dad making a fool of himself on the internet @ThePanda19720,0
974,"I feel faint after chasing a whippet and Lily, Libby, Gabby, Millie the cats who were playing chase in the garden #AintItFun #Not!! #notfun",1
303,"I often worry that wealth doesn't  have enough influence in society, so pleased to see this being addressed #sarcasm http://t.co/2U3PerpZQz",1
2771,"@ChloeLaylaa the hostel is fine actually but I've probs caught like 1000 germs walking around London, thanks for wishing me better #not",1
941,"The UofL student ticket policy is such a well thought out plan, good job SGA. #sarcasm #ihateyou",1
1598,Why can I hear a chicken? This is Fulham for gods sake!,0
3160,Is it ironic for a @selenagomez song to come on my #ipod after a @justinbieber song?! #irony #SelenaGomez #JustinBeiber,1
1048,Cats are so cute I wish I wasn't allergic 😭😭,0
2267,2015 prediction: Putin ditches the Ruble and adopts Bitcoin,0
464,"@willbrooker feeding your own flesh and blood/making an alley way smell terrible = same, same. #not #90ssarcasm #thesun #thingsthatarewrong",1
3222,@ipathak25 @BJPDelhiState good step by BjP goons #sarcasm,1
2740,@Missguided: Looking back on Saturday night like... http://t.co/YiZd4lXq3l @LouiseRosalia You about Thursday 😂,0
3752,"so, sane peoples would talk to themselves in twitter because they can't find other sane humans to talk to. that #irony #retweet#ifagree",1
3734,NEW #IRONY CURTAIN U.S. #Christians like @briansbrown travel to #Russia to torment #LGBT who are seeking asylum here http://t.co/u53SJeFR67,1
196,"@lionhart32 @Dosta1 @BSButcher My,Nephew stopped a lot. His long hair. looks like a drug dealer. Never smoked anything Pills?not an aspirin.",0
1555,@tomwookieford agreed. It's a very cool place. And I just love the rocks.,0
3343,The oh-so-classy [#sarcasm] @SamuelLJackson also belittled the #ALS #IceBucketChallenge in his disgusting little video.||#NotInMyWallet,1
2931,I always can't wait to see how #sarcasm works. #IfYouKnowWhatIMean,1
2356,Drinking a Mercury: The Winged Messenger (Planet Series) by @BellsBrewery - http://t.co/iOGZRrSfgl #photo,0
2083,i do occupy rent free space in his cranial cavity LOL @MrNickking13,0
680,@TNADixie @IMPACTWRESTLING @DestAmerica Fuck yeah! 600 more viewers! #Sarcasm,1
1777,Really love when the @DASHBus  is over five minutes late on the cold days. Feels like Metro! #sarcasm,1
2401,One season down 8 togo! #OneTreeHill,0
341,@ForexEric @HeidiL_RN @unsavoryagents YES! Vote for SATAN (@HillaryClinton) in 2016!!!! #NOT,1
2660,"@Alan_Juventino I don't blame you bro, if i was married to @ClaudiaRomani I too would support Milan 😊 http://t.co/8aTrR8ZEiE",0
1452,Get Updated with Basant Rai is out! http://t.co/YKJvVSaW7O Stories via @MasculistA @subichaturvedi @BJPLucknowBJP,0
3710,Packers fans on Twitter are on full meltdown mode... R. E. L. A. X.,0
1230,Whoops. Didn't know I had to live up to other people's expectations instead of mine. Let me just fix that. #sarcasm #sorrynotsorry #soz,1
646,#Not just our problem - The Express Tribune http://t.co/KmDQn0IZ3P,0
1192,"We rebooted the server, it seems ok now YEY! #facepalm #not #devops",1
2397,I don't have to respect your beliefs.||I only have to respect your RIGHT to have them. ||#atheist #atheism,0
1268,also sick names #not,1
3209,#BBC #News -- #China -- #Shanghai #crush: #Xi #Jinping #orders #new #year #investigation. http://t.co/wD1X4FC4Y1,0
2759,Security Engineers are not Security Guards. :| #Hackers #Irony #security,1
3021,@TheKaranPatel u might b d bigest fan of srk but i find u better actor than him#not sayng it just fr sayng but realy mean it#expression king,0
1521,you know what would make break 1000000x times better?||not having practice.,0
1176,Currently a bus wanker. I hate people 😕 #stinks #gobonastick #dickheads,0
38,@HEELTeacher and what will that achieve? Seriously?To be fired.all the guys who had the balls to call them out are gone..,0
1817,If that's Man U at its best they have much bigger problems than us ;) #saintsfc. Then again we're still 5th #noproblem,0
2539,"@RichardDawkins Accusations on twitter shouldn't count, though I've heard tales of talk that it will replace the grad jury sys here #sarcasm",1
1062,"New Years Eve is generally the most overrated party of the year. It's supposed to be a huge shindig, but usually I'm disappointed.",0
1557,"@kaylz96 no , not anymore. 😣",0
3399,@AsdaServiceTeam continuing with that wonderful customer service ? #sarcasm,1
1686,@khushsundar true sissy well said..#not fit to live as a man...,0
109,I'm so pissed off at Chicago. Like the people at the airport ruined so many peoples chances of ever meeting the boys 😑😑😑. Way to go #not,1
3224,I wonder what Professor Iaukea has to say about the new Disney Princess...? 😒 #not,1
3133,Kebabs ordered..|Snug on sofa watching shit tele with dad 💕💜,0
905,Oh we get to see The Queens Garden on #itv after she addresses the nation. Just what I always wanted #not 😳,1
2374,I absolutely LOVE moving house #NOT,1
1147,Swag #not @FANNING_myself,1
2856,"Time for the post Christmas car wash, yay!!! #sarcasm #friesenfamilychristmas",1
641,@honestfandom oh mature girls #sarcasm,1
3721,@dirtydeathdog @PillzSufrie @billisFPS @BFDaily yeah they look like plastic :/,0
3445,RTed that because yeah that totally makes sense #Sarcasm,1
2052,"@SusanCarlson111 If it's a ""Blue Ribbon Panel"", then it will be all good. #sarcasm",1
69,I asked God to protect me from my enemies .. shortly after I started losing friends 😳💯 #irony or #naah,1
98,@MaggieWinter21 your last retweet though #irony,1
3009,"I'm the guy for you Brooke Davis. #OneTreeHill this story is sad,thrilling and confusing. But I love it!😍",0
1994,@SP_EnergyPeople are actually going to contact me rather than just apologising via Twitter?,0
3805,"@Nylons @quick13 @jamieyuccas @chadhartman it was an In progress list of ""MN of the year""",0
2915,Thirst will make you settle for a grenade bruh,0
598,@FoulNecromancer lol how and what is a cthulhu ?? Funny autocorrect so helpful #not,1
2620,Produce Mobile Apps #bluedream| http://t.co/9NHimEIPSy http://t.co/9QHOFBuoyj,0
1990,2 and half hour walk #Proud,0
561,I really need to shoot something soon.,0
2126,"@westendproducer @WhatsOnStage In a musical, the music department is quite unimportant. #sarcasm #umitsaMUSICAL",1
2273,"I'll tell you what, those CEACCP books make a cracking bonfire, don't they? #frca #freedom",0
1632,Hmm...Scott Mitchell v Tony O'Shea or Phil Taylor v Raymond van Barneveld...what a difficult decision!!! #Not #DartsWorldChampionship #PDC,1
1815,Gotta go back to work tonight,0
3775,@SexualGif: when ur boyfriend interrupts your selfie http://t.co/kVZ8VCZ7Nu yeah happens all the time #not,1
3639,@AlWashingnutt Yeah...me too!!!!! #not!! x,1
1987,@craigavonc left out blue bin as per calendar but not lifted. Checked your website and it indicates green bin #not happy,0
1856,"He looks a decent bowler. Not really a 5th bowler, but, in a balanced side potentially 6th bowler Styris on HSohail. #pakvnz #irony",0
3102,"@Matthies2 Tx, i saw that. must be a great shot to defend oneself from a fierce attacking giraffe. #sarcasm #HungerGames",1
1940,@the_cheshirekat @TheLividPatriot Ya cause their country is calm and peaceful from Everyone arming themselves #sarcasm,1
2896,#notcies #eu Foreign Affairs Committee MEPs to discuss Lebanon with prime minister http://t.co/vO8qmlP1Gv,0
9,@Adam_Klug do you think you would support a guy who knocked out your daughter? Rice doesn't deserve support.,0
2653,"Just saw: Roel de Vries , Nissan #marketing boss says marketers should focus on emotions and #not quantify everything http://t.co/AB0ZU24OOm",0
2378,@GetOnTVN @TheSharkTweet what's going on with sharks hair? Looks like the council has cut it,0
927,.@tomorrowstand Yup. That's exactly how we do it #sarcasm,1
472,#Germany -- #ECB's #Weidmann #says #German #2015 #growth #may #be #better #than #expected. http://t.co/gxFSC1mQy5 via @reuters,0
3134,"If I could kidnap my friend's new puppy Navi, I would do it in a heartbeat.",0
3226,@abby_zeigler @BabyAnimalPics @Splain_it_to_me @mestudmuffin tweeted this at me yesterday,0
2319,Days when you just want everyone to leave you alone #not #in #a #good #mood #noHunting,0
2244,"And it's freezing, yay! #not http://t.co/McQJBgNY1E",1
203,@Nettaaaaaaaa @deray yeah & we wont talk about how the bodies of the 2 cops killed in BK were ambulanced immediately. Elitism at its finest.,0
791,Yay for my family leaving & going to Seneca & leaving me to fend for myself. #Not,1
958,If someone could come give me a massage that would be gr8,0
3696,Incredible. RT @Buster_ESPN: The Red Sox have an agreement with Justin Masterson.,0
589,"@Rickmayhem @dearmothica accordng 2 lawyrs, evidence supported both sides, could hav supportd many differnt scenarios, warranting indictment",0
843,@stillfallin_ great Christmas. #not,1
3366,#elf #why not #not moving http://t.co/ZcrJaOwPqZ,0
1805,Just got the message I need to start working at another location. Brilliant! #not now rushing towards second location. Oh god I hate Mondays,1
3402,Me: So yall forced me to call in to keep my price the same? BH: *silence* Me: *where is google fiber* #ilovebrighthouse #sarcasm,1
3307,"@heidimoore @DonnaAlward @jennabb I'm trying to decide if that cover says ""lonely widower' or not. #not",1
3474,@JafarBalarabe @GovElrufai2015 @elrufai2015 @elrufai #not for Elrufai#he represents the masses#so it is our victory#,0
921,"Besides some overpriced holiday candles, I haven't seen one #CyberMonday deal worthwhile today. Brutal.",0
139,@letote good thing we had enough #whitewine and #christmastrees to survive if needed. #chardsohard #fashion #sarcasm ;),1
1153,"Jesus, Mary and Joseph. How sad to go through life suffering from #irony deficiency",1
362,#BBC #News -- #Thailand #crown #prince's #wife #resigns #from #royalty. http://t.co/0a1SLM5K5k,0
3513,#USA: Senate summary report on #CIA detention programme must #not be end of story http://t.co/eFNfDOXclr # http://t.co/thk4aZ7OZE,0
3109,@steviefriz83 @ddot42 @D_Murph72 @MurrayMurray8 @SeanBhoyCfc @LFCNev @nicsameva fuck it mite just warch eastenders #not,0
499,CIA report highlighting the stark differences b/t the present & former administrations' approach to nat'l security. #sarcasm,1
495,I have to say... I'm really excited about Brendan Fraser's birthday tomorrow. #BrendanFraserBirthdayBash,0
2477,In case somebody breaks in our apartment 🔪😵 http://t.co/3IhKK7AY1o,0
219,Last day in Naples with my Emma girl! 🌴☀#soeasytotakeapicwithatoddler #not #19wksandcounting... http://t.co/Xb43RmsXAj,1
163,@BrandonTierney I also support instantly murdering 12 year olds with fake plastic guns in public parks...,0
1277,I love procrastinating but I hate cramming.. -_- #irony,0
2950,@mel78carey I'm not a Lohan anymore 😁 detox now for 4 weeks new me! 1 week tomorrow 😘,0
3653,"Maaaaan stupid instagram I went from having 300+ followers, to my cat my mom and tom from MySpace -_-..... #smh #sarcasm #butstill !!!",0
251,@loveeallyy I literally do not know,0
673,@660News We ll take that#not bad at all,0
739,#Dallas #traffic I sure missed you! #not @ Downtown Dallas Traffic http://t.co/ryHS7wiLb7,1
505,@kemmerinB I'm gunna sit here and #not,0
887,"I liked a @YouTube video from @jdfromny206 http://t.co/oeb8mtMIpj WWE 2K15 (PS4) My Career Mode Ep: #12: ""TRIPLE THREAT"" | WWE 2K15",0
888,"Hey, @HLTVorg. DenialCSGO decided that they want to replace @denialfugly and I'm their new player. #NAShuffle Nobody is safe. #CSGO #sarcasm",1
3608,#Oil #plunges 3 #percent to #new #five-#year #lows #after #bearish #IEA #outlook. http://t.co/tvMIOkXZUf via @reuters,0
692,Up all night took 4 hour nap I'm ready for work #Not,1
2621,Sipping a chicken Cuppa soup and watching #Jezza how exciting #Not,1
769,@tinyRetard *kisses you cheek* that's enough. im not a love bot.,0
1428,@sickill buuuut fast iteration and prototyping to production-ready code! #sarcasm,1
1299,Being able to think your self angry is such a nice gift to have... #Not #ItsACurse,1
394,Someone stop Obama! USA only should have relations with human rights loving nations like Saudi Arabia. Not terrorist Cuba! #Cuba #sarcasm,1
1287,@DorlaCoddington @wherePHILLY Thx. If thry real why dont you have them? Friend me on http://t.co/OXybfwwWb6,0
3370,"I swear the biggest tools are those who wear a belt even though they're wearing suspenders. Pick one or the other, can't do both",0
2355,Can someone please tell me where the video is?,0
684,"@JOJEHARVEY @matthewtcouch oh aye, I'll give you that ; )",0
659,The ever so caring @rupertmurdoch gets to see the siege ending first. Great journalism. #sarcasm,1
998,@StephHammy I wonder if they have that in an audio book...,0
1389,#marleyandme RT @alexspeier: Sources tell @bradfo and me that Dodgers are showing serious interest in Jon Lester.,0
3381,@Neilby70 @ParkzTheDon @TonyBrown03 @goodgary99 @GazTheGooner84 @LosDaGooner nice what you cooking me😜😜,0
719,My favorite part of dislocating my shoulder is now being able to feel it roll  around in the socket #not,1
1088,I just saw another person wearing a heavy winter coat with a hood up #not encouraging,0
3374,Yay time to clean.... #sarcasm so tired,1
209,I love 14 hour shifts #not 😩😩😩,1
3508,That 2-hour sleep put me into hyper mode #irony,1
108,@jepischke @djdurkin The Bears are probably the worst franchise in football at the moment.,0
2087,@Sahelanth @QuerierNew @hudds1 because as long as she's a victim she'll have white knights trying to save that damsel in distress. #irony,1
986,@Jordanbrown_97 haha quite right mate! They coonty workers have got it aff easy Al tell ye! Oot here workin like a hamilton accie 👳 #not 😂😂,1
2935,"August has the most birthdays, February has the least and most of the serial killers are born in November!||-so dont mess up with me|#nov26",0
293,"Always gonna be an uphill battle, sometimes I'm gonna have to lose.",0
3512,I was really happy to hear that all of the NBC hockey talking heads pointed out Ovechkin's strong Corsi & +4 status this season. #sarcasm,1
2726,Photo: #tea #art #abstract #color #colors #fun #how #are #you #artist #spainish #exhibit #spain http://t.co/TjneQknWDo,0
3250,And here we gooooo.....LOL #calledit #bandwagon #Houseisafeeling #EDUCATE yourself kids https://t.co/HP0JtlpfYQ http://t.co/rGkVlsM9JN,0
3105,@knoxnews thats not weird at all #sarcasm,1
718,San Diego is amazing and I'm never coming home #Sarcasm,1
3511,So despite the fact that I was up till 4 studying and had to wake up at 7 I think this day is going to be great 😒 #sarcasm,1
3832,"well now that i've listened to all of into the woods, i'm going to listen to some FOB #nosurprisethere",0
460,"@AlexStearnCom Hey Alex, thanks for the support. My FB page is : https://t.co/9CaCW9cY7i|Blessings and success to you.",0
2835,Oh look at me! I'm making people happy! I'm a magical man from happy land! Who lives in a gumdrop house on lolly pop lane! ||#Sarcasm,1
3404,Being ignored is still in my top ten things I love. #sarcasmtweet #sarcasm,1
3340,@PeddRaam yeh but its still unclear you know. #irony,1
1014,@Ms_Mac4 I need a new job so I can read books again. I miss reading. Being an English teacher really gets in the way of reading. #irony,1
2688,"Thanks mom for all those lovely words, you just love to let me know how proud you are of me |#not #wordshurt",1
3642,@lids4hats lids sucks officially! Will not use again#not good,0
3114,@nfullers98 that's my Saturday night entertainment....,0
2564,@lennutrajektoor And this is a warmly ment #sarcasm from me to You! :-),0
2888,I'm not going to survive today w/o breaking down in tears at least twice and possibly passing out. All nighter @the library was a bad idea.,0
1781,"@EthanSnaps Just what the Bears need... A sense of urgency at QB position, using top pick at QB position #sarcasm",1
1579,"Sometimes I wonder, am I the mouse, or am I the experimenter?",0
3398,People in this school seem to amaze me.. #not,1
619,Ed Sheeran smashing out his tunes on the Victoria's Secret catwalk. Ginger legend!,0
1167,Dentists oh the joy#not,1
857,#politics is not my cup of tea says #sonakshi @sonakshisinha  of #lingaa fame .#irony #sonakshi dad #shatru is our top #bjp leader,1
2671,Now i officially look single. Ha the #irony,1
3745,Vacations...re:Imagined...re:Engineered...re:Born @TripSifu...coming soon. Signup to gain access to our beta. http://t.co/0N7BRXRkcd,0
3681,Beautiful way to start my morning. #not 😣😷,1
66,Bmw i8 sexy az hell but too slow for the dinero 12.4 in the quarter mile slow #fan of the design#not feeling the... http://t.co/DELfxN0BpI,0
1269,Babysitting night! Hoping my car doesn't get towed bc idk where to park 😰,0
2993,Spilled milk onto my boob. Oh the #irony.,1
2386,Wow I feel great #sarcasm,1
1998,"Christmas part two began at my parents house today.Many gifts,mountains of wrapping paper,excited nephew,missing batteries, veggie chilli.",0
238,Earn cash by Posting & Tweeting! |http://t.co/2667mS1bHz ||Get started at http://t.co/GViBiZ4ZsH||#CashForContainers #homebasedbusiness #LOL,0
363,First photos of the Infiniti Vision GT concept emerge http://t.co/quWYbjWq6V,0
3159,I'll just assume Rex Grossman is starting.,0
226,Yay I love being awake at 5 in the morning 😀🔫 #sarcasm,1
3485,From @D_Shariatmadari - 10 diktats from Brussels that are ruining life in Britain http://t.co/c33NQypIQZ http://t.co/5kpDMwRWTA #sarcasm,1
1705,Twitter is dead. #ThanksFinals #NOT,1
2184,@sammiecurtis_ oh man. You will have to get everyone singing ready for when I'm in 😂,0
1157,I have to leave for school at 9am and I'm still in bed #fucktherain #wherearemyhunters #imgonnalooksocutetoday #not,1
2758,Currently writing about how I plan to stop procrastinating after leaving the paper untouched all day #irony,1
2963,@saintsfootballc: Wenger slams referee http://t.co/HJMbnHaPMf (Sky) #saintsfc ha ha ha ha for being too blatantly bias towards them?!,0
3829,Glad there's not a typhoon where we go on holiday in 4 weeks. #sarcasm #fml,1
2770,@tomstrock39: Pick it up one more time for the homie in the back that's stickin right with us thanks for answering my DM #realmvp #not,1
870,Yay for getting pink eye again! #not #whyme,1
3183,Welp! Back to the drawing board 😣  #mua #sike #not #eyeliner #fail #notforme #makeup #naturalgirl... http://t.co/u0xbdxWysd,0
3195,Remember Black Friday was a bust....#sarcasm,1
275,"Great, I've got a lung infection. This is fun. :/ |#sarcasm #notfun #miserable",1
2375,Powerful picture taken by a #protester the #night before #christmas. The #irony is real. http://t.co/EVdeheqpsj,1
