label,tweet,Analytic,Authentic,Tone,allure,OtherP
0.0,did anyone else get a notification from @USER saying american horror story s9 was available but does n't show up when you search for it ? !,28.63,35.01,1.0,4.0,4.0
0.0,"as a poly dude , this "" boyfriends "" comic is really fucking adorable i dont trust no bitches who say its "" fetishy "" or "" not good representation "" i love them id die 4 them",1.0,17.19,70.91,6.45,19.35
0.0,"I was in no way prepared for the emotional wringing of my soul that #TalesFromtheLoop would put me through . And the score ? Stunning . If you want something beautiful , intelligent and unique to watch , give it a go . It 's on Amazon Prime . I 'm off for a lie down and a cry .",83.25,44.14,49.66,5.77,1.92
0.0,Markets already down,89.52,99.0,,0.0,0.0
1.0,@USER one of them smonks weed so it 's super worth it / s,14.06,,99.0,0.0,15.38
0.0,"Hey @USER , any chance we could see a civic in Rocket League ? :winking_face:",89.52,1.0,,15.38,30.77
0.0,watching twilight with sam and i can not wait to see his reaction to animatronic renesmee baby,64.21,1.39,,5.88,0.0
0.0,anthony dropped his phone in the ocean,99.0,24.32,,0.0,0.0
0.0,@USER @USER @USER You can call it whatever but it was stupid and not an inserection ... if it was there would have been arms and the building would have been taken over and btw ... it has been proven non Republican militia were in there also involved and present,1.0,8.11,4.22,6.25,6.25
1.0,How is it possible that Sly Stallone 's ‘ Cobra ' is both the best and the worst movie ever made ?,22.98,8.42,1.0,5.26,5.26
0.0,"@USER tbh I think the only time I hear trans people use it is trans mascs referring to themselves . I 'm sure it does happen but the OG tweet really feels like "" made up a guy to be mad about """,69.05,78.67,2.86,10.0,7.5
1.0,okay but like the say so song ain't that bad . I 'm unironically jam to it lmao,7.78,83.69,20.23,11.76,0.0
1.0,absolutely love waking up to the fire alarm at 7 am :smiling_face_with_heart-eyes:,99.0,3.81,99.0,8.33,50.0
1.0,Ca n't wait for those $ 2000 checks to go out immediately,97.37,99.0,,18.18,9.09
1.0,Hot dog eating contest as a form of assisted suicide,99.0,,,0.0,0.0
1.0,Ah gotta love that Friday morning burnt out feeling :sunrise_over_mountains:,89.52,99.0,99.0,20.0,40.0
0.0,"my mom just called the spatula , an “ egg flipper ”",89.52,10.18,,0.0,22.22
1.0,6 more hours and then a whoppingly massive 2days off work ! wowzers !,89.52,39.59,,16.67,0.0
0.0,"I can't tell if my professors keep skipping / delaying Introductions because grad school is so serious and important that you have to immediately dive into material , or if because classes at AU have n't been in-person in two years all the profs are majorly disoriented",10.19,87.45,85.84,6.67,4.44
0.0,it 's Songkran right now in Thailand and I wish I was there :weary_face: :weary_face:,3.8,93.95,,13.33,40.0
0.0,We did n't deserve to draw anyway but it 's just so frustrating to lose due to shit officiating,22.98,1.0,1.0,0.0,0.0
1.0,Taxes are just the best and I can not wait to pay more :smiling_face_with_halo: :smiling_face_with_hearts: :pleading_face:,26.1,15.38,,6.25,81.25
1.0,Really happy that the weather has stayed like this for the whole weekend,89.52,30.98,99.0,7.69,0.0
1.0,Good news : Played out of my mind from the sand traps today . Bad news : Was in the sand traps a lot today .,99.0,79.84,99.0,18.18,9.09
0.0,as much as i like being home i miss my uni pals and messing around in the kitchen at 2am,80.96,89.39,90.5,5.0,0.0
0.0,Sunset over the Appalachian mountains . HTTPURL,99.0,99.0,,0.0,0.0
0.0,How are there women in this world who think we should be kind to pedophiles and rapists ? Howwwwwwww ? They 're not sorry !,3.27,79.84,1.0,0.0,0.0
1.0,help ! i 'm being haunted by dead people ! ( my dissertations ),39.7,63.35,20.23,10.0,20.0
1.0,when the toilet seat is warmed up for you > > >,66.04,77.17,,0.0,33.33
1.0,Efy is great,10.19,,99.0,33.33,0.0
1.0,"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock , and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest , most enjoyable start to any workday .",97.04,22.12,93.93,5.56,8.33
0.0,"AMAZING game , @USER ! So happy to have you in Vegas ! :red_heart: :red_heart: :red_heart:",53.56,2.93,99.0,7.69,76.92
1.0,if i saw a capybara in person id probably throw up,45.12,99.0,,0.0,0.0
0.0,"Networking , networking and networking - big message from today 's key note speakers #PRS2021",89.52,30.98,,15.38,15.38
1.0,Life is about eating chicken finger and getting drunk,33.38,,,11.11,0.0
0.0,"knew one coworker recently had a baby , but did n't send us pictures so far . People are curious , so I tacked up a stock photo of an ugly baby .",47.93,86.26,1.05,3.45,0.0
1.0,My living room feels really lively now . I 'm recklessly sipping tea absorbing choons #TaeSup,22.17,93.95,20.23,6.67,6.67
1.0,I love a Monday morning so glad the weekends over !,89.52,99.0,99.0,10.0,0.0
1.0,wearing a cute jumpsuit is all fun and games until you have to go to the bathroom,89.52,46.57,99.0,11.76,0.0
1.0,Good morning September ... Hello tonsillitis :(,,99.0,99.0,0.0,33.33
1.0,"My PS4 Pro has P . T on it , which is somewhat funny as it was taken down before the PS4 Pro was even released #konami #PT #SilentHills #Spooky #PlayableTeaser #Kojima",30.37,19.26,20.23,3.33,20.0
0.0,Today has made 4 years since ‘ The End ' and I 'm honestly about to cry . HTTPURL,78.28,99.0,1.0,12.5,6.25
0.0,aquariums are just liquid zoos,3.8,,,0.0,0.0
1.0,I just absolutely LOVE how I 've got to work outside for the next 3 days in the heatwave . #sweatingmyballsoff,94.88,98.38,90.5,5.0,5.0
0.0,me : :( me after eating one blueberry : :),26.1,99.0,20.23,0.0,75.0
1.0,:two_hearts: tip for baking bread ! :bread: :croissant: :baguette_bread: you can use the yeast in your dog 's ears to substitute active dry yeast or instant yeast in a pinch ! :two_hearts:,96.08,7.03,,0.0,43.33
1.0,"This weather is really making me want to put shorts on , flock to the beach and get the deck chair out ... Yeah right ! ! !",94.33,17.84,,13.04,0.0
1.0,"It was almost 70 degrees today but no , global warming does n't exist :unamused_face:",2.35,72.58,,14.29,21.43
0.0,anyone else kinda like how it feels after you floss and ur gums are inflammed,1.16,93.95,,6.67,0.0
1.0,"Ah yes , back spasms when I take a deep breath . This is :sparkles: 28 :sparkles: .",22.17,93.95,,20.0,26.67
1.0,Hey what 's the weather like today ? Am I going to need an umbrella ?,96.35,2.36,,28.57,0.0
0.0,@USER @USER This is all Biden 's failure ... politicians like to pass the buck,96.35,2.36,,14.29,14.29
0.0,"HOT TAKE : Can we stop romanticizing the grind ? Yes there is value in hard work and determination . However , it is NOT HEALTHY to work yourself until you can hardly function as a human being . There 's a big difference here .",15.41,45.52,,15.0,2.5
0.0,You never realize how easy life really is until you can't breathe through your nose . :face_without_mouth:,1.0,89.39,96.74,12.5,25.0
1.0,"No joke , air-fried Twisted Teas are THE BEST .",62.1,15.38,99.0,25.0,12.5
1.0,Anyone else hear some like thunder or something ?,5.64,89.39,,12.5,0.0
0.0,does anyone else buy pound cake in bulk from costco,69.05,63.35,,10.0,0.0
0.0,the vaccination man said i could have some heart problem stuff . i 'm being very brave,5.64,1.63,96.74,6.25,0.0
0.0,at softball practice tonight one of my girls accidentally stuck her foot into a GROUND HORNETS NEST and those hornets SWARMED like in the hunger games . y'all I can't catch a break with this team :face_with_tears_of_joy:,89.52,39.59,2.17,2.78,16.67
0.0,apple .. as much as i want to say ‘ abs ' . no . i am typing to type ‘ and ',43.4,1.63,,6.25,12.5
0.0,I wish I could watch Disney channel original movies on the old box TVs to get the full effect again,89.52,63.35,,5.0,0.0
0.0,@USER happy birthday ! !,,99.0,99.0,0.0,33.33
0.0,"Yep , the only reason I 've stayed with 3 since Ovivo disappeared was the everywhere contract . If and when this reaches me then I 'm offski . @USER HTTPURL",18.12,99.0,,0.0,3.57
0.0,@USER @USER All / any updates are fully appreciated Mike . Many thanks,45.12,50.45,99.0,0.0,27.27
0.0,days before rodeo is Travis Scott 's best project,66.04,77.17,,11.11,0.0
1.0,"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED , CRUSHED I TELL YOU . HTTPURL",37.3,39.59,,8.33,0.0
1.0,"Day 55 of Lockdown . Finally bought some jigsaw puzzles . Absolutely can not wait for them to come , highlight of my day ( maybe even year )",49.68,99.0,,16.67,8.33
1.0,NOT OLIVIA RODRIGO TRAITOR IN THE BACKGROUND #LoveIsland,98.55,89.39,1.0,0.0,12.5
1.0,I just love going out in the rain . It is so nice going to the park when it is pouring with rain . It is so cool to get mud in your hair and your socks drenched . I love it .,18.87,48.76,99.0,10.26,0.0
1.0,"You know what makes a 15 minute wait for the bus even better , rum leaking all over the contents of your bag :see-no-evil_monkey: :tired_face:",97.04,39.59,20.23,8.33,33.33
0.0,bo burnham owes me absolutely nothing but i think he should put make happy on spotify i need to sob to the burrito song,49.68,15.38,20.23,8.33,0.0
1.0,Another gorgeous day in sunny Accrington !,89.52,99.0,99.0,16.67,0.0
1.0,Overthinking everything in life really takes a toll on you,89.52,7.03,,10.0,0.0
0.0,wearing all manners of rings and chains bc i always have to be the sexiest person in the home depot,80.96,63.35,90.5,0.0,0.0
0.0,"I 've compiled a list to debunk the gatekeeping morons saying #StarWars is too "" male focussed "" . Leia Organa , Jyn Erso , Rey , Bastila and Satele Shan , Hera Syndulla , Padme , Iden Versio , Nightsister Merrin , Cere Junda , Asajj Ventress , Sabine Wren , Bo-Katan Kryze , Shaak Ti , ( 1 / )",85.98,1.0,3.38,0.0,16.28
0.0,Happy Birthday to Chris Lowe of Pet Shop Boys . Your music is the backbone of my existence . #chrislowe #happybirthdaychrislowe #petshopboys HTTPURL,94.68,5.94,99.0,0.0,14.29
0.0,I 'm ready for Lockdown # 2 . I need to make better bread .,89.52,39.59,99.0,33.33,8.33
1.0,Everybody loves Christmas ! It such a great time to be jolly !,71.44,50.45,99.0,18.18,0.0
0.0,HAPPY BIRTHDAY MEL ! ! !,,99.0,99.0,0.0,0.0
1.0,"My poo is green , how festive .",1.0,99.0,99.0,0.0,0.0
1.0,no more instagram . we must all return to scrapbooks .,33.38,10.18,,11.11,0.0
0.0,My favorite thing is that literally ONLY my @USER says I have to have a prescription for syringes that I 've been getting OTC for years . This is the kind of shit diabetics are facing .,24.37,42.95,65.27,5.71,2.86
1.0,"Oh good , it 's time for the bi-monthly random power outage .",97.37,5.07,99.0,18.18,9.09
1.0,"I really loved the drive into work today in the dark , wet , heavy rain",99.0,99.0,98.65,21.43,0.0
0.0,It costs $ 0.00 to be a decent person :slightly_smiling_face:,89.52,,,0.0,55.56
0.0,the worst thing about coffee is that it looks so nice and then you drink it and it just isnt,1.0,7.03,20.23,0.0,0.0
1.0,High stakes legos,,99.0,,33.33,0.0
0.0,It 's that time again . Please recommend some good period dramas and comedies .,14.06,81.58,99.0,15.38,0.0
1.0,Weathers wonderful today ! :closed_umbrella: :closed_umbrella: :closed_umbrella:,,39.59,99.0,16.67,150.0
0.0,"Even though my mom has to work a 12 hr shift today , I 'm thankful she 's happy with what she does and that she is doing what she needs to do in order to care for her children . She is the strongest and most important woman in my life . Without her , I am nothing .",11.02,1.0,98.85,5.45,0.0
1.0,I love when you go to shop for plus size clothing and it 's always just shoved under women 's and it does n't have any subcategories so u just have to wade thru everything like a pig being thrown slop,12.54,75.67,58.42,7.32,0.0
0.0,"Fat Patty 's and Applebee 's have very similar energies , but they 're unmatched . It 's like wrong step and I 'm gonna end up in the other restaurant with no way back",63.17,95.15,1.71,9.09,0.0
0.0,shang chi meant so fucking much to me . i can hardly imagine what it meant to others .,3.11,97.97,,0.0,0.0
0.0,I 'm waiting for this yt at work to just just hit me so I can hit him back,6.22,33.61,1.0,10.53,0.0
1.0,""" coping strategies to help with tinnitus and hearing loss : see a doctor ! "" Wow thanks internet",98.78,1.91,97.84,6.67,20.0
0.0,"One point of correction though ( literally artistic licence ! ) . At present , exercise has been shown to be effective in other autoimmune conditions but not specifically in APS .",74.95,94.47,79.29,0.0,7.69
0.0,Why was everything in interior design so brown in the 2000s,45.12,95.15,,0.0,0.0
1.0,"i love how i literally just finished watching the fifth hp film and then turned to my mum and said "" love a good bit of character death on a sunday :) "" the dsmp lore has utterly ruined my attachment to characters and how i see stories now . i am a broken woman .",53.56,89.39,94.96,9.62,7.69
1.0,love it when R gives me the 500th error code of the day,74.95,81.58,99.0,15.38,0.0
1.0,Corsodyl failing to consider i like being a person who spits blood when they brush their teeth,29.85,46.57,,5.88,0.0
0.0,I have more fun with my parents and boyfriend than anyone else . Is this old age ?,1.97,99.0,96.74,12.5,0.0
0.0,@USER Imagine being allergic to sunlight and thinking you 're God 's favorite . :smirking_face:,56.86,24.32,98.65,0.0,28.57
1.0,They really said you can't have nice weather AND no lockdown for your bday this year huh,1.0,12.44,99.0,17.65,0.0
0.0,best day of my life we got a new expensive vaccuum WOOOOOOOO,89.52,89.39,99.0,25.0,0.0
0.0,another week really does start tomorrow ... :disappointed_face:,2.35,99.0,1.0,14.29,42.86
0.0,my greatest downfall is having an upset stomach then eating spicy food to make it worse .,43.4,15.38,1.0,6.25,0.0
1.0,What a wonderful time to have your AC go out HTTPURL,89.52,99.0,99.0,36.36,0.0
1.0,"Packing to move house , and currently wondering why I had to pick such a heavy hobby ? Like , why did I have to pick reading ? Books are so heavy , my back hurts . Why could n't I have picked knitting ? Yarn is light :smiling_face_with_tear:",13.76,84.92,3.2,9.52,11.9
0.0,I passed my permit test ! ! ! :hot_face:,10.19,99.0,,0.0,50.0
1.0,Raging debate on the importance of an Orlando Magic Summer League Championship . Definitely a notch below 6 if decided by coin flip . HTTPURL,99.0,44.75,84.9,0.0,0.0
1.0,"North Dakota : * has one decent week of weather * Mother Nature : NOW I SHALL CAST OUT THE SUN AND BRING THE COLDEST OF RAINS UPON THY SUPER , DUPER FLAT LAND .",89.52,99.0,74.09,10.34,13.79
0.0,HAPPY WORLD TAPIR DAY EVERYONE ! ! ! HERE IS YOUR YEARLY REMINDER THAT I LOVE TAPIRS ! ! !,2.35,99.0,99.0,28.57,0.0
0.0,Democrats do realize that if In fact trump loses he will run again in 2024 and they will have him for 12 years instead of 8 #MAGA2020,16.08,77.17,1.0,7.41,3.7
1.0,Why would Alexa 's recipe for Yorkshire pudding be a bhaji yorkshire pudding ? ? @USER,76.24,1.0,,0.0,7.14
0.0,greatest british act of all time : one direction,98.55,89.39,99.0,12.5,12.5
0.0,The entirety of this Super Bowl just is n't sitting right with me ( and not just because my team is n't playing ) .,12.37,50.45,86.79,4.55,9.09
0.0,Very moved by the accounts coming from Afghanistan right now . We can debate the merits / pitfalls of Western intervention endlessly but relinquishing control to the Taliban is unquestionably the worst thing for the country now .,95.41,80.49,20.23,11.43,2.86
1.0,""" @USER : FLORIDA YOU LITERALLY HAVE ONE JOB """,18.12,,,14.29,57.14
1.0,A fun musical mashup is the country music playing at the gym with the one guy playing old Eminem on his phone at full volume in the locker room shower :musical_notes: :musical_notes: :musical_notes:,99.0,13.81,99.0,6.06,27.27
0.0,Shit . After a hilarious yet faithful recreation of Winnie the Pooh a part of me is now stuck inside a honey jar .,98.87,95.15,99.0,4.55,0.0
1.0,Avoid mass gatherings .. does this mean that I can stay home tomorrow as I work at a school ? No I thought not . #schoolclosure,14.64,99.0,,17.39,4.35
0.0,future mvp lamelo ball,,89.39,,0.0,0.0
0.0,can we have a bit of a strong cold breeze please,89.52,1.0,99.0,9.09,0.0
1.0,What kind of sins have y'all been committing for God to punish us with this kinda weather ...,64.21,1.39,1.0,5.88,0.0
0.0,@USER @USER Yes please let us know . I am interested in buying some LTC,56.86,72.58,98.65,21.43,14.29
1.0,Well . That went well . #BelgianGP,1.0,63.35,99.0,0.0,20.0
0.0,i am slightly allergic to celery but i bought a 2.5 pound bag so i gotta eat it . taste good tho,5.14,84.92,88.66,9.52,0.0
0.0,you ever sneeze and are like I am absolutely sneezing for my life right now,1.16,93.95,,26.67,0.0
1.0,Been looking forward to today all weekend . Mondays are the best . I feel fresh and ready to start the week . SAID NO ONE EVER ! !,62.1,99.0,83.0,20.83,0.0
1.0,Who 's ready for monsoon storms allllll weekend ? ! ? !,89.52,89.39,99.0,12.5,0.0
0.0,the hurricane has been completely underwhelming,10.19,,,0.0,0.0
1.0,"Yeah I 'm following a lot of shows right now , the price is right is pretty good but season 1 is better than season 2",51.7,85.71,99.0,24.0,0.0
0.0,"I tried to use GIMP but I hate it and it does n't work with my iCloud Drive . I 'm thinking of just caving & purchasing the Photoshop cc sub :weary_face: I think I can get away with just buying a photoshop subscription , I do n't mind Inkscape & Shotcut .",43.4,80.79,20.23,8.33,10.42
0.0,I just put my debit card PIN number into the microwave ... not doing well,18.12,99.0,98.65,0.0,0.0
0.0,I love drawing feets :ogre: :ogre: :ogre: Must draw more feet :ogre: :sparkles:,53.56,1.0,99.0,7.69,76.92
1.0,"Got locked out of Twitter for saying it 's embarrassing to be an arsenal fan . That 's not okay , but people can be abusive and racist and nothing ? ! ? Okay ! :rolling_on_the_floor_laughing: :face_with_rolling_eyes:",51.31,1.77,1.0,12.9,35.48
0.0,People are always like “ I do n't remember what life was like before covid ” but for me it 's more like “ idk what life was like before TikTok ”,18.12,97.09,,25.0,14.29
1.0,“ If I could have changed anything about my childhood I would have never watched spongebob ” - no one,1.0,83.69,,11.76,17.65
0.0,Me taking my time and turning in my assignment last minute so my awful professor has no chance of getting ahead on grading : HTTPURL,16.96,99.0,1.0,4.17,4.17
1.0,Stop gatekeeping retirement living communities . I am mentally and spiritually ready to move in .,56.86,99.0,,7.14,0.0
1.0,why is the weather having a mid life crisis,66.04,10.18,1.0,11.11,0.0
0.0,need a new pfp pls send suggestions,99.0,1.0,99.0,14.29,0.0
1.0,a level tudor history can do one,56.86,24.32,,0.0,0.0
1.0,"apparently it 's the biggest ask on the planet to find decently priced sandals with an enclosed toe . PLEASE , INTERNET . I just want to have vaguely summery shoes that do n't involve me having my toes out to the world at all times lmfaoo",81.89,66.42,55.62,9.09,0.0
0.0,@USER i do n't like to rag on people 's art styles cuz w / e but this is sincerely so fucking ugly,20.83,5.07,20.23,9.09,9.09
0.0,Finding out my internship keeps Coke products stocked in every kitchen on every floor nearly made me cry,89.52,99.0,20.23,5.56,0.0
0.0,"I 'm sorry but I 'll never understand people complaining about free DLC . Sure it could have been included in the base game , but I 'm still getting the content and for free so who cares",10.19,59.49,93.93,16.67,0.0
0.0,"back in the office . Everybody asks me , "" Happy to be back ? "" I chuckle and reply , "" No . I 'd much rather be surrounded by tourists than idiots . """,41.98,98.89,99.0,11.54,15.38
1.0,July 1st . Half way point of the year . Well I think we can all agree that 2020 has gone swimmingly so far . Ca n't wait for part 2 . #murderhornets,47.93,99.0,20.23,3.45,3.45
1.0,Petition to call erections social dickstanding,99.0,,,16.67,0.0
1.0,I absolutely love it when its pouring down with rain on a Monday morning and I forget my umbrella !,22.98,99.0,92.27,5.26,0.0
1.0,On a scale from 1 to 10 how deeply was your childhood influenced by the Hannah Montana 2 : Meet Miley Cyrus double album ? This is for research purposes .,96.35,2.36,75.77,3.57,3.57
0.0,keep the mics on pitchers always,99.0,39.59,99.0,16.67,0.0
0.0,quackity stream is making me so genuinely happy rn,1.0,10.18,99.0,0.0,0.0
1.0,The only thing I got from college is a caffeine addiction,89.52,5.07,,0.0,0.0
1.0,"love island is ending , law school is starting again ... summer is really over",14.06,99.0,99.0,7.69,0.0
1.0,Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,95.09,1.0,92.27,5.26,10.53
0.0,"@USER Huh . I 'm realizing now that I have never been that far away from ALL humans . I 'm surrounded by inhabited places , plus I 've really only visited popular cities ( did go to a cabin in the woods once , but that was with family ) . Interesting concept to think about .",45.65,99.0,50.98,8.0,6.0
0.0,"It 's been a bit since I 've had a musical obsession on this level , but has anyone seen / heard Six ?",29.12,84.92,,0.0,4.76
0.0,"Sorry for the overshare but life 's been miserable of late and I need a place to vent so buckle up cowboys , cowgirls , and cowpeople . I present to you : the last three weeks of my life .",85.2,77.17,2.17,11.11,2.78
0.0,"Just watched the Murray game and BBC commentary after . Is n't "" Andrew Castle "" cockney rhyming slang for something ? Should be .",39.7,1.0,,0.0,10.0
1.0,Why are the side effects of antidepressants so :sparkles: scary :sparkles:,45.12,50.45,1.0,0.0,36.36
0.0,#didyouknow Mosquitoes are attracted to the colour blue twice as much as to any other colour .,95.8,1.63,,0.0,6.25
0.0,I miss frenemies so much,1.0,63.35,,0.0,0.0
1.0,considering crowd surfing the next time the hallways are too packed,89.52,99.0,,9.09,0.0
1.0,I 'm gonna miss scantrons shortening my name to “ Christ ” after 16 years,74.95,98.89,,15.38,15.38
1.0,School psych life if fun because you can feel like complete shit but chances are you have meeting that determines changes in a student 's education that 's bound by legal timelines and took coordination of 6 different schedules and you 're the only one who can run it,38.51,37.24,51.68,12.24,0.0
1.0,My favorite part of flying is getting to walk past the rich people to get to my poor person seat .,97.77,98.38,90.5,10.0,0.0
0.0,i am in severe pain while on vacation i feel robbed .,45.12,99.0,1.0,9.09,0.0
0.0,People who drive under the speed limit . Death Penalty .,98.16,99.0,,22.22,0.0
1.0,omg there 's a sheet of ice in front of my school . should I slip and fall ?,64.21,99.0,,0.0,0.0
1.0,@USER Sounds like a strong contender for GOTY,99.0,,99.0,12.5,12.5
1.0,"me : revises cells + other general biology stuff edexcel : "" i want a fit summer bod , get them to tell me how i get one "" #EdexcelBiology #Gcses2018",39.7,85.71,,8.0,28.0
1.0,The high tomorrow is 45 ! Anyone wanna go to the pool ?,99.0,95.15,,18.18,0.0
1.0,Having morning sickness when you 're not actually pregnant is all the fun,1.3,81.58,99.0,7.69,0.0
0.0,"I just finally got around to starting the most recent season of Archer , and I am seriously bummed out for being only one episode in to my favorite animated tv comedy",69.92,97.57,20.23,0.0,0.0
0.0,Still time to apply for our Clinic Supervisor post ... HTTPURL,89.52,7.03,,20.0,0.0
0.0,Reminding myself that things take time & I 'm not stagnant . I 've been doing the best that I can with what I have and that 's all that matters ! Small steps,1.0,79.1,,12.9,3.23
0.0,"@USER @USER Its literally very common . My friends son was concieved while she was in the pill . You do know it 's only 91 % effective right ? That means for 9 % of women , that form of birth control fails .",36.67,8.42,61.63,7.89,10.53
0.0,I hope the woman I saw driving a motorcycle wearing a semi-formal dress and cheetah print stilettos has a nice day,89.52,24.32,99.0,4.76,4.76
0.0,There may never be a better celebrity cameo in our time than that one scene in Space Jam 2 .,36.67,99.0,92.27,10.53,0.0
1.0,First day of school and spectrum internet has already shit itself . Amazing,26.1,39.59,99.0,8.33,0.0
0.0,"raise your words , not your voice . it is rain that grows flowers not the thunder . aka do n't be mad , Stoopid .",2.35,56.69,1.0,0.0,0.0
0.0,"Celebrating the Year of the Ox in Pingtung County , South Taiwan . Just off for a scooter ride . ( If this is my first and last twit - doh ! )",93.9,98.89,79.29,3.85,11.54
1.0,Just nearly cried in the tesco express because they did n't have the cheese pizza or the back up pizza I wanted . My mental stability is strong today .,46.07,97.09,20.23,10.71,0.0
1.0,teams is down what a shame I can't do my assignments :backhand_index_pointing_right: :medium_skin_tone: :backhand_index_pointing_left: :medium_skin_tone:,10.19,63.35,1.0,0.0,120.0
0.0,"I have finished work , yet am still here , latched onto the free Wifi like a newborn child to his mother .",69.05,28.56,90.5,35.0,0.0
0.0,Anyone calling vaccine passports unworkable needs to explain how it 's different to requiring ID to enter a nightclub .,80.4,33.61,,0.0,0.0
0.0,Ready to not be pregnant so I can enjoy my first espresso martini,1.3,30.98,99.0,7.69,0.0
1.0,"Ah yes , another afternoon with the WiFi down ... really makes working from home that extra bit more enjoyable :)",95.09,70.28,99.0,5.26,10.53
0.0,"If they are going after the misspelling “ definately ” as proof of H , then I 'm afraid half of Facebook are suspects . #LineOfDuty #LineofDutyFinale",60.52,92.58,1.0,0.0,17.39
1.0,my computer does this fun thing now where it shakes in a way that exactly replicates what happens to my vision when i forget my meds so that 's exciting !,1.16,98.38,97.84,6.67,0.0
1.0,"@USER red among us guy , hes hot dont come for me",6.68,95.15,,9.09,9.09
0.0,Why you gotta take someone pure like Sean Lock from us huh ? Why could n't it be James Corden ?,12.74,1.0,,10.53,0.0
1.0,My eldest is having a wild Friday night out . She 's going to bingo . :face_with_tears_of_joy:,77.34,63.35,,13.33,40.0
0.0,Any Brandi Carlile song rips my heart out and mercilessly stomps on it until it is in a million different pieces,81.45,84.92,1.0,4.76,0.0
