index,label,tweet,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
10,0,"@Jaketallow but if you feel like it's relevant don't worry about the word limit man, at least you're doing it",1,20,3.8,89.5,63.35,1,20,10,95,80,65,20,10,0,0,10,0,0,10,10,5,0,15,20,5,10,5,30,5,10,0,0,0,0,40,0,25,10,0,0,5,0,10,0,5,0,5,5,0,5,5,0,0,0,20,5,0,0,0,0,5,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,5,0,0,25,0,0,0,0,0,0,25,0,5,0,0,15,5,0
11,1,"Time for the post Christmas car wash, yay!!! #sarcasm #friesenfamilychristmas",1,10,99,,63.35,20.23,5,30,80,40,20,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,10,0,10,0,0,60,0,10,0,30,0,20,0
12,0,"@DIYcookery: A Guide To Coffee 👌 http://t.co/CXJigjMwaa LOL, espresso from that time we went to the Maple Leafs fan fest @sammiebressette",1,20,99,89.5,28.56,,20,15,65,45,35,10,5,0,5,0,0,0,5,15,10,0,15,0,0,0,0,5,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,10,0,5,5,0,0,0,5,5,0,0,5,5,0,0,0,20,0,5,0,0,0,15,5
13,1,Really love when the @DASHBus  is over five minutes late on the cold days. Feels like Metro! #sarcasm,1,18,95.3,,99,20.23,6,16.67,88.89,77.78,50,0,0,0,0,0,0,0,0,16.67,11.11,5.56,16.67,5.56,11.11,5.56,0,11.11,5.56,16.67,0,0,0,0,38.89,0,11.11,5.56,0,0,0,5.56,0,0,11.11,5.56,5.56,5.56,5.56,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,16.67,0,0,5.56,0,0,11.11,22.22,0,11.11,0,0,0,0,0,0,22.22,5.56,0,0,5.56,0,11.11,0
14,0,One from her please *cries* http://t.co/z0Yt6Dax7s,1,6,89.52,98.75,1,1,6,0,100,66.67,50,16.67,16.67,0,0,0,16.67,0,0,33.33,0,33.33,16.67,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,16.67,0,16.67,0,0,16.67,0,50,33.33,16.67,16.67,0,0,16.67,16.67,0,0,16.67,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,33.33,0,0,0,0,0,33.33,0
15,0,If you gon' judge people who drink and blaze FOH Go choke on some foreskin,1,15,59.67,99,63.35,1,15,6.67,86.67,53.33,46.67,13.33,13.33,0,0,6.67,0,0,0,6.67,0,0,13.33,0,0,13.33,0,13.33,0,6.67,6.67,0,0,6.67,6.67,0,6.67,0,0,0,6.67,0,6.67,0,6.67,0,6.67,0,0,0,0,0,0,0,26.67,6.67,0,0,0,6.67,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6.67,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,13.33,6.67,0,6.67,6.67,0,0,0,0,0,0,6.67,6.67,6.67,0,0,0,6.67,0,0,0,0,6.67,0,0
16,0,"#DIY. Change your #MobileCover every day now. Enjoy! http://t.co/FbDDXMien9",1,9,33.38,99,99,99,3,11.11,88.89,55.56,33.33,11.11,11.11,0,0,11.11,0,0,0,22.22,0,11.11,0,0,11.11,0,0,0,0,22.22,0,0,0,0,44.44,11.11,11.11,0,11.11,0,0,0,0,0,11.11,11.11,0,11.11,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,0,0,0,0,0,0,0,33.33,0,11.11,0,11.11,11.11,0,0,0,55.56,22.22,0,0,11.11,0,22.22,0
17,1,I doubt this week could get any better. #sarcasm,1,9,10.19,2.75,10.18,20.23,4.5,11.11,100,77.78,44.44,22.22,11.11,11.11,0,0,0,0,11.11,22.22,0,0,0,11.11,0,0,0,22.22,11.11,11.11,11.11,0,11.11,0,44.44,0,33.33,0,0,11.11,22.22,0,0,0,22.22,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,11.11,0
18,1,I love 14 hour shifts #not 😩😩😩,1,6,10.19,1,99,99,6,0,83.33,50,33.33,16.67,16.67,16.67,0,0,0,0,0,0,0,16.67,0,0,0,0,16.67,0,0,16.67,0,0,0,0,33.33,0,16.67,0,0,0,0,0,16.67,0,16.67,16.67,0,16.67,16.67,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,50
19,0,@lennutrajektoor And this is a warmly ment #sarcasm from me to You! :-),1,13,31.07,81.78,2.93,99,6.5,15.38,84.62,76.92,69.23,23.08,15.38,7.69,0,7.69,0,0,7.69,15.38,7.69,0,15.38,7.69,7.69,7.69,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,23.08,15.38,7.69,7.69,7.69,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,7.69,0,0,7.69,0,7.69,7.69,0,0,0,46.15,0,0,0,7.69,0,38.46,0
20,0,"@Steeeneer @TMZ I know,  right?  Not like the LAPD have anything better to do. This ain't a distraction or nothing.|#sarcasm",1,21,18.12,1,84.92,20.23,7,23.81,85.71,71.43,61.9,14.29,4.76,4.76,0,0,0,0,9.52,14.29,9.52,0,9.52,14.29,0,4.76,14.29,19.05,4.76,0,4.76,0,4.76,0,28.57,4.76,23.81,4.76,0,0,9.52,0,14.29,0,9.52,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.81,4.76,4.76,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,42.86,9.52,4.76,4.76,0,4.76,19.05,0
21,0,"When someone on a conference call talks about ""housekeeping items"". Grrr.",1,11,71.44,86.82,5.07,,5.5,27.27,72.73,54.55,45.45,9.09,0,0,0,0,0,0,9.09,9.09,9.09,0,18.18,0,18.18,9.09,0,9.09,0,0,0,0,0,0,27.27,0,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36,18.18,0,0,0,0,18.18,9.09,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,36.36,18.18,0,0,0,0,18.18,0
22,0,Main issue with the walking dead- you forget to breathe when you're watching. So bloody good #WalkingDead,1,17,29.85,99,12.44,20.23,8.5,23.53,88.24,76.47,41.18,11.76,11.76,0,0,11.76,0,0,0,5.88,5.88,0,11.76,5.88,11.76,11.76,0,17.65,17.65,0,0,0,0,0,17.65,0,5.88,0,0,0,0,0,0,5.88,11.76,5.88,5.88,5.88,5.88,0,0,0,0,5.88,11.76,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,5.88,11.76,5.88,5.88,0,5.88,0,0,5.88,0,11.76,0,0,0,0,0,0,23.53,5.88,0,0,0,5.88,11.76,0
23,1,Hashtags are great idk why everyone stopped using them #jk #sarcasm #bye,1,12,1,40.06,39.59,99,12,33.33,83.33,66.67,50,25,16.67,8.33,0,0,0,8.33,8.33,0,0,0,0,8.33,16.67,0,8.33,16.67,8.33,0,0,0,0,0,41.67,8.33,16.67,0,16.67,0,0,0,0,0,25,16.67,8.33,0,0,0,0,0,0,0,25,8.33,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,8.33,8.33,8.33,0,16.67,16.67,0,0,8.33,25,0,0,0,0,0,25,0
24,1,I didn't know the story of Noah had transformers in it. Man the modern biblical tale killsssss it. #not #whatarethelivingrockpeoplefor,1,20,54.7,1,98.38,,6.67,20,75,60,50,15,5,5,0,0,0,0,10,10,10,0,10,10,0,0,10,15,5,0,0,0,0,0,25,0,15,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,5,5,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,5,10,0,0,0,0,0,0,0,25,10,0,0,0,5,10,0
25,1,Thank u to all u beautiful ppl that talk extra loud when I'm trying to watch tv I love you guys so much #not #srslyofALLrooms,1,25,3.8,98.38,13.33,99,25,8,96,84,52,24,20,8,0,12,0,0,4,12,0,0,8,4,8,8,4,20,16,12,4,0,4,0,20,4,8,0,0,4,0,0,4,0,12,12,0,4,4,0,0,0,0,0,32,12,4,4,0,0,8,20,0,0,0,4,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,8,4,0,0,4,4,0,4,0,4,0,12,12,0,0,0,12,0,0,0,0,4,8,0
26,1,Hello indoor lung nice to see have to you back. #not 🏃😑,1,11,71.44,40.06,95.15,99,5.5,0,100,54.55,36.36,9.09,9.09,0,0,9.09,0,0,0,0,0,0,18.18,9.09,0,0,9.09,18.18,9.09,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,9.09,0,18.18,18.18,0,0,0,0,0,0,0,0,18.18,9.09,0,9.09,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,18.18,27.27,0,0,18.18,9.09,0,0,0,0,0,18.18,0,0,0,0,0,18.18,9.09,0,0,0,0,9.09,18.18
27,0,Harry's literally such a good person it hurts my heart BYE #InternationalHarryStylesDay,1,12,73.36,40.06,3.81,20.23,12,16.67,66.67,33.33,33.33,16.67,8.33,8.33,0,0,0,0,8.33,25,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,8.33,16.67,8.33,8.33,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,8.33,8.33,0
28,0,"Enroll 2 Members 1 on each leg (L/R). THEN, help your 2 Personally-Enrolled Members get 2 Executive w/ Diamond Pkgs. http://t.co/X7Tu7JJtCT",1,22,81.89,99,1,86.79,11,22.73,72.73,27.27,18.18,4.55,4.55,0,0,4.55,0,0,0,9.09,0,22.73,4.55,0,0,4.55,0,4.55,0,0,18.18,13.64,0,4.55,0,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,0,18.18,4.55,4.55,0,0,0,0,13.64,0,0,0,0,4.55,0,0,4.55,4.55,0,0,4.55,0,0,4.55,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,4.55,0,0,0,4.55,4.55,0,0,0,36.36,9.09,4.55,0,0,0,22.73,0
29,0,You can spit on a rose but it's still a rose.  #contempt  #sarcasm  #mockery,1,14,35.59,79.51,1,1,7,21.43,85.71,57.14,57.14,14.29,7.14,0,0,7.14,0,0,7.14,14.29,14.29,0,7.14,14.29,7.14,7.14,0,14.29,0,0,0,0,0,0,21.43,0,14.29,0,0,7.14,0,0,7.14,0,21.43,0,21.43,7.14,0,7.14,0,7.14,0,0,21.43,14.29,0,0,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,35.71,7.14,0,0,0,7.14,21.43,0
30,1,"I have a small jacket on , with a big coat for later , I'm back at the train stn going back into town  , work Xmas do #joy #not",1,27,96.51,2.75,98.13,77.5,27,0,81.48,62.96,48.15,7.41,7.41,7.41,0,0,0,0,0,11.11,11.11,0,18.52,11.11,0,0,3.7,14.81,11.11,7.41,3.7,0,3.7,0,11.11,0,3.7,0,0,0,0,0,3.7,0,3.7,3.7,0,3.7,3.7,0,0,0,0,0,3.7,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,3.7,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.52,14.81,0,3.7,11.11,0,0,0,3.7,0,3.7,3.7,0,0,0,0,0,22.22,0,11.11,0,0,3.7,7.41,0
31,1,I just want to thank e-l-e-n-a-t on tumblr for spoiling me #BOFA -.- #sarcasm... Honestly? Fuck you! #martinfreeman,1,17,79.1,2.18,1.39,1,4.25,23.53,76.47,52.94,41.18,17.65,17.65,11.76,0,5.88,0,0,0,0,0,0,17.65,0,5.88,0,0,11.76,0,0,0,0,0,0,11.76,0,11.76,0,0,5.88,0,5.88,0,0,29.41,5.88,23.53,0,0,0,0,0,0,11.76,17.65,17.65,5.88,5.88,11.76,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.12,23.53,0,5.88,5.88,0,58.82,0
32,1,"@carlytyler @greateranglia let's face it, at the mo there's delays on any day ending in a y! #valueformoneynot #sarcasm",1,19,89.52,90.88,93.14,1,9.5,21.05,73.68,52.63,47.37,10.53,5.26,0,5.26,0,0,0,5.26,15.79,10.53,0,15.79,10.53,5.26,0,0,10.53,0,5.26,5.26,5.26,0,0,26.32,0,5.26,0,0,0,5.26,0,0,0,5.26,0,5.26,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,10.53,0,0,10.53,0,0,0,15.79,0,10.53,0,0,0,0,0,0,42.11,0,5.26,0,5.26,10.53,21.05,0
33,1,When you're sick and you feel bad for your cells cause they're fighting hard for you. #blessed #appreciative #sarcasm #kinda,1,20,3.8,99,28.56,1,10,20,95,75,45,25,25,0,0,20,0,5,0,5,0,0,10,10,5,10,0,15,20,0,0,0,0,0,35,0,20,10,5,0,5,0,0,0,30,10,20,15,5,10,0,0,0,0,40,15,5,0,5,0,0,25,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,10,5,0,15,0,5,5,0,0,0,35,5,0,0,0,10,20,0
34,0,@johnsykes1035 absolutely shocking that the lamestream media hasn't picked up on this #sarcasm #mediabias @theMRC @newsbusters,1,16,62.1,1.71,54.55,1,16,43.75,68.75,50,43.75,12.5,0,0,0,0,0,0,12.5,18.75,6.25,6.25,12.5,6.25,6.25,0,6.25,12.5,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,6.25,6.25,0,12.5,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,6.25,6.25,0,0,0,0,6.25,6.25,0,6.25,0,6.25,0,0,37.5,0,0,0,0,6.25,31.25,0
35,1,"managing to fall flat on my face up the library stairs, has just made it to the top of  my list of proudest student moments #not",1,26,96.67,2.37,99,79.29,26,19.23,88.46,69.23,53.85,11.54,7.69,7.69,0,0,0,0,3.85,15.38,7.69,0,23.08,3.85,3.85,0,3.85,7.69,11.54,0,3.85,0,3.85,0,15.38,0,7.69,0,3.85,0,0,0,3.85,0,3.85,3.85,0,3.85,3.85,0,0,0,0,0,3.85,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,3.85,15.38,0,0,0,3.85,3.85,3.85,0,0,0,0,0,0,7.69,0,3.85,0,0,0,3.85,0
36,1,Few things are more amazingly wonderful than getting up early on a Monday morning to start the work week!!!!!! #sarcasm #needmoresleep 😴💤😕,1,21,99,16.63,99,20.23,10.5,28.57,90.48,71.43,47.62,4.76,0,0,0,0,0,0,4.76,19.05,9.52,0,19.05,4.76,0,4.76,0,14.29,19.05,14.29,4.76,0,4.76,0,28.57,0,4.76,0,0,0,0,0,4.76,0,9.52,4.76,4.76,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,9.52,4.76,0,0,4.76,0,0,0,23.81,0,4.76,0,0,0,0,0,0,38.1,0,0,0,28.57,0,9.52,14.29
37,1,yet another rainy goshen concert night☔🎻 #surprised #NOT,1,8,5.64,1,99,,8,37.5,87.5,50,37.5,12.5,0,0,0,0,0,0,12.5,12.5,0,0,0,0,12.5,0,12.5,0,12.5,12.5,0,0,0,0,62.5,0,50,0,0,12.5,12.5,0,25,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,12.5,12.5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,25
