dataset,tweet,label,roberta_on_irony_mix,roberta_on_polarity,roberta_on_sarcasm,roberta_on_sarcasm_mix,bertweet_on_irony_mix,bertweet_on_polarity,bertweet_on_sarcasm,bertweet_on_sarcasm_mix,bert_on_irony_mix,bert_on_polarity,bert_on_sarcasm,bert_on_sarcasm_mix
irony,maybe i 'll shut up about wisconsin drivers when y'all stop fuckin driving like that,0,0.14979629,0.00580213,0.90787846,0.8813125,0.9269436,0.6296229,0.9358058,0.7130965,0.790435,0.91378015,0.82440424,0.93988025
irony,yeah i enjoy some oregano on a nice pasta dinner ( dumps oregano on mac n cheese ),1,0.7856379,0.006265959,0.23217334,0.9218908,0.99222034,0.9905985,0.96779066,0.97782326,0.9748644,0.90042055,0.95269626,0.90474886
irony,"Man-spider . The story of a spider who 's bitten by a human and now has the powers of a human . Working in an office , wasting money on artisan coffee , and giving up his bus seat to a woman who turns out not to be pregnant , but just "" likes sandwiches you a-h * le "" . #IntoTheSpiderVerse",1,0.062571034,0.0050774105,0.1107108,0.28657997,0.031490725,0.027537739,0.14876762,0.09646206,0.7548433,0.5980151,0.13828605,0.2407097
irony,Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days :loudly_crying_face: tempted to quit teaching tbh,1,0.25282952,0.0046141357,0.13220814,0.29708788,0.6650753,0.22427247,0.05620539,0.034039438,0.6765747,0.22510059,0.34177616,0.5562785
irony,gaslight gatekeep girl boss,1,0.11057176,0.003416006,0.41574195,0.8555678,0.24864651,0.07514822,0.16486062,0.17793939,0.9381559,0.9808044,0.29719207,0.23527728
irony,The fact I nearly froze on my way to work this morning is definitely a sign it 's not summer anymore #freezing,1,0.92283773,0.00407192,0.16161364,0.12680149,0.9915867,0.8117091,0.51155907,0.107419364,0.8995464,0.30914032,0.25578886,0.08127962
irony,"@USER @USER Well , illegal immigrants categorically do n't get money from the government but why let a little thing like facts get in the way of a good bit of xenophobia ...",1,0.0072459197,0.0028108826,0.92229545,0.88175464,0.20176576,0.5841821,0.9111846,0.87471056,0.45012087,0.20760238,0.9716152,0.9456966
irony,2000s songs are so infectiously rhythmic and boppy i love it,0,0.6445441,0.01131657,0.21137172,0.12047237,0.5078006,0.4568669,0.051463813,0.03975485,0.96833736,0.98380023,0.19475159,0.13682242
irony,Birds are not real and you can not tell me otherwise .,1,0.008527959,0.0032857284,0.3056638,0.1424321,0.07921863,0.047568437,0.2891314,0.2234799,0.029677374,0.03951209,0.25806952,0.13169657
irony,"Incredible scenes in Nottingham , as it begins to rain for the first time this hour .",1,0.84000176,0.0033889522,0.6453832,0.55882174,0.9925983,0.5838329,0.12597896,0.22486134,0.97682923,0.9632978,0.48622248,0.11197066
irony,"Can we appreciate how amazing vaccines are ? We 've got covid cases declining despite nightclubs being open ! If we vaccinate school kids , we might even avoid a spike once the schools reopen .",0,0.7094193,0.0030938364,0.93089515,0.9855101,0.98749906,0.98779476,0.96380514,0.9707172,0.94715476,0.95756143,0.90180594,0.9440302
irony,I 'm high and drinking coffee but my ADHD is still winning,0,0.15006505,0.004526779,0.22563207,0.19621657,0.8714496,0.75597733,0.16763055,0.19524565,0.43456534,0.8757457,0.10439036,0.08152447
irony,I 'm just living off salads and yogurt and loving it tbh,1,0.35823226,0.0050770235,0.082245015,0.06292992,0.24667533,0.072605945,0.061099008,0.044587906,0.74360317,0.62825495,0.13915744,0.31514788
irony,I just heard my voice in a video and I never want to speak again,0,0.0058314484,0.0032512397,0.10464006,0.15115976,0.056603312,0.047858495,0.08419119,0.08409896,0.031778723,0.055108435,0.068199046,0.07551925
irony,"Omicron : Cases are going up , run for the hills .",1,0.06212221,0.0029821526,0.47288042,0.60047156,0.9557596,0.6420566,0.67508584,0.96683615,0.06971361,0.04051175,0.10271497,0.8712525
irony,"Like all humans , I make some decisions that go against the best interests of myself or others . One such decision is sometimes eating too much sugar , another was consuming animal products . I would love the government to nudge me towards better decisions . #NationalFoodStrategy",0,0.080459714,0.0033010002,0.3290832,0.05131461,0.98648053,0.9727438,0.0611988,0.06971454,0.9565551,0.8733289,0.26267543,0.28061253
irony,"I heard it might be snowing ? ? ? Sounds fake , but okay ? ? ? Can anyone verify ? ? ?",1,0.065770626,0.0031065426,0.8496362,0.44311592,0.06584744,0.057181053,0.94610184,0.9414978,0.06638386,0.026036942,0.7629066,0.9181324
irony,Replace Pelosi #Nancy,0,0.0065364284,0.0035343994,0.49267897,0.87535024,0.18502012,0.096170954,0.6150182,0.7250975,0.031510074,0.034757867,0.8248086,0.8810763
irony,I was today years old when I learned what Ricky Martin looks like .,0,0.01648769,0.0032797204,0.7030655,0.76258785,0.06374689,0.04485839,0.14901859,0.07493085,0.039104264,0.04272384,0.18008502,0.9157772
irony,In sunny spain at the moment ! ! ! Hows it all in england ?,1,0.5378196,0.0039596455,0.81423384,0.1682013,0.35537955,0.33568603,0.6596068,0.071641825,0.94699407,0.061920665,0.9302554,0.92465127
irony,did anyone else get a notification from @USER saying american horror story s9 was available but does n't show up when you search for it ? !,0,0.047815286,0.002876888,0.046623185,0.05628607,0.027027033,0.026565837,0.052998524,0.030974299,0.01923541,0.016568964,0.14258835,0.37083387
irony,"as a poly dude , this "" boyfriends "" comic is really fucking adorable i dont trust no bitches who say its "" fetishy "" or "" not good representation "" i love them id die 4 them",0,0.058001596,0.0037354187,0.5619804,0.25792423,0.11957631,0.2736847,0.051308263,0.029294327,0.6449898,0.8660923,0.9032273,0.94281566
irony,"I was in no way prepared for the emotional wringing of my soul that #TalesFromtheLoop would put me through . And the score ? Stunning . If you want something beautiful , intelligent and unique to watch , give it a go . It 's on Amazon Prime . I 'm off for a lie down and a cry .",0,0.12447708,0.003909309,0.04195502,0.018743027,0.03126221,0.028743489,0.03923171,0.025426958,0.06806269,0.05178959,0.1031213,0.079111814
irony,Markets already down,0,0.42252862,0.00695749,0.25815493,0.30216566,0.26347542,0.23863238,0.35205626,0.39489254,0.76322937,0.1910202,0.24060407,0.12698632
irony,@USER one of them smonks weed so it 's super worth it / s,1,0.035966687,0.008932524,0.41768458,0.26490256,0.6234911,0.96636647,0.098970965,0.323096,0.9742086,0.97699463,0.2765957,0.69193107
irony,"Hey @USER , any chance we could see a civic in Rocket League ? :winking_face:",0,0.012017634,0.0026411565,0.94582564,0.6137442,0.20487435,0.086164616,0.6503998,0.38071117,0.96380967,0.6399304,0.97159857,0.9446817
irony,watching twilight with sam and i can not wait to see his reaction to animatronic renesmee baby,0,0.22241901,0.004499294,0.09842596,0.07107927,0.09642064,0.05264285,0.050567735,0.032484002,0.96177936,0.9478442,0.50418824,0.4682883
irony,anthony dropped his phone in the ocean,0,0.040639017,0.00433458,0.16288146,0.7801575,0.056688484,0.047221173,0.18973847,0.13874447,0.09643258,0.08324167,0.34002233,0.1709433
irony,@USER @USER @USER You can call it whatever but it was stupid and not an inserection ... if it was there would have been arms and the building would have been taken over and btw ... it has been proven non Republican militia were in there also involved and present,0,0.003043966,0.0027622785,0.71375436,0.22211078,0.025960796,0.01900973,0.1069218,0.11556061,0.045725886,0.020592254,0.8856382,0.18081711
irony,How is it possible that Sly Stallone 's ‘ Cobra ' is both the best and the worst movie ever made ?,1,0.08907114,0.003906098,0.71757466,0.61890304,0.1846945,0.09331737,0.12936924,0.14950702,0.068307325,0.05184966,0.7443631,0.86884195
irony,"@USER tbh I think the only time I hear trans people use it is trans mascs referring to themselves . I 'm sure it does happen but the OG tweet really feels like "" made up a guy to be mad about """,0,0.017374428,0.0031371014,0.45854303,0.06817582,0.05190457,0.038077317,0.056407057,0.037239138,0.06683647,0.25462046,0.14089595,0.07935537
irony,okay but like the say so song ain't that bad . I 'm unironically jam to it lmao,1,0.028087491,0.0052205366,0.71140337,0.87215525,0.12684079,0.08445045,0.05004251,0.031588476,0.9679949,0.9784943,0.44943973,0.8829563
irony,absolutely love waking up to the fire alarm at 7 am :smiling_face_with_heart-eyes:,1,0.5715495,0.0044361,0.98900163,0.99445,0.9925821,0.9901063,0.9680322,0.97696656,0.9911425,0.99521375,0.9811445,0.95321244
irony,Ca n't wait for those $ 2000 checks to go out immediately,1,0.1736164,0.00854118,0.7493497,0.90576035,0.99252677,0.99082196,0.9712425,0.9768544,0.98340005,0.98932016,0.5332794,0.94510305
irony,Hot dog eating contest as a form of assisted suicide,1,0.316983,0.0037396569,0.780101,0.8384218,0.6559083,0.0784231,0.8628908,0.94320387,0.5991631,0.28662223,0.6765703,0.5065591
irony,Ah gotta love that Friday morning burnt out feeling :sunrise_over_mountains:,1,0.78706926,0.004939909,0.9612428,0.9673227,0.9926198,0.9905822,0.96404845,0.9723374,0.9916334,0.9951427,0.94051075,0.9361894
irony,"my mom just called the spatula , an “ egg flipper ”",0,0.5359262,0.008190915,0.16680518,0.46693283,0.14158832,0.044597987,0.18860379,0.102591835,0.50783503,0.8274929,0.20438102,0.3724245
irony,6 more hours and then a whoppingly massive 2days off work ! wowzers !,1,0.85193086,0.0072005074,0.9012306,0.97343373,0.6771829,0.7789943,0.12867504,0.10154201,0.98884016,0.9933083,0.9005559,0.8507944
irony,"I can't tell if my professors keep skipping / delaying Introductions because grad school is so serious and important that you have to immediately dive into material , or if because classes at AU have n't been in-person in two years all the profs are majorly disoriented",0,0.41128847,0.005088513,0.08617502,0.023887195,0.084772706,0.09421434,0.037305027,0.025069846,0.06414001,0.08673162,0.21158959,0.073195785
irony,it 's Songkran right now in Thailand and I wish I was there :weary_face: :weary_face:,0,0.024322674,0.0034667198,0.17222156,0.032520574,0.050019804,0.04016058,0.05018235,0.02934888,0.032204457,0.05542705,0.100026175,0.18213044
irony,We did n't deserve to draw anyway but it 's just so frustrating to lose due to shit officiating,0,0.038542375,0.0047264015,0.4662272,0.10315872,0.039517872,0.065126315,0.0777012,0.032344375,0.094582364,0.4586449,0.11621912,0.088643916
irony,Taxes are just the best and I can not wait to pay more :smiling_face_with_halo: :smiling_face_with_hearts: :pleading_face:,1,0.74691844,0.0052514477,0.9795649,0.9600699,0.9922069,0.99086714,0.9709646,0.9780187,0.9704634,0.9481687,0.4915197,0.80058914
irony,Really happy that the weather has stayed like this for the whole weekend,1,0.90296686,0.0045246785,0.9711746,0.97958994,0.99185973,0.9827131,0.96792275,0.9174676,0.9811219,0.98973113,0.16323724,0.16896793
irony,Good news : Played out of my mind from the sand traps today . Bad news : Was in the sand traps a lot today .,1,0.50041705,0.0046238303,0.4576864,0.75632197,0.045838896,0.10512236,0.0643806,0.0315568,0.25599205,0.06796441,0.30640802,0.079663314
irony,as much as i like being home i miss my uni pals and messing around in the kitchen at 2am,0,0.52387613,0.004389658,0.5672761,0.28890085,0.31808808,0.23596185,0.09265562,0.033108495,0.26386988,0.85910296,0.1994401,0.6777046
irony,Sunset over the Appalachian mountains . HTTPURL,0,0.008559443,0.0028051469,0.018380683,0.010762409,0.063575715,0.058044534,0.06947159,0.042852808,0.27588743,0.05560677,0.052360225,0.14068918
irony,How are there women in this world who think we should be kind to pedophiles and rapists ? Howwwwwwww ? They 're not sorry !,0,0.06944677,0.0034827392,0.8650684,0.964233,0.577991,0.9271187,0.50060433,0.914971,0.8713031,0.94115746,0.9515008,0.9488419
irony,help ! i 'm being haunted by dead people ! ( my dissertations ),1,0.016129164,0.0037506572,0.21289554,0.41095853,0.114451505,0.060173776,0.059741456,0.08432546,0.07317788,0.056822255,0.053343967,0.41751066
irony,when the toilet seat is warmed up for you > > >,1,0.12676847,0.008290422,0.4566972,0.9221503,0.32206857,0.57704914,0.4205105,0.22623897,0.6463866,0.07574099,0.25817555,0.7361072
irony,Efy is great,1,0.25862154,0.004921441,0.06958264,0.041411344,0.9914587,0.99088895,0.1171829,0.07851719,0.9897878,0.99311346,0.11765319,0.09523432
irony,"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock , and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest , most enjoyable start to any workday .",1,0.90427214,0.004443572,0.83999294,0.75964385,0.9886485,0.97036874,0.48145378,0.9599534,0.9768297,0.9468594,0.31001443,0.08301491
irony,"AMAZING game , @USER ! So happy to have you in Vegas ! :red_heart: :red_heart: :red_heart:",0,0.034758102,0.004332296,0.074294746,0.08655771,0.053433917,0.075128675,0.045684982,0.027255254,0.49877435,0.98118913,0.6226245,0.10509021
irony,if i saw a capybara in person id probably throw up,1,0.14484352,0.0037303166,0.21613027,0.75848174,0.0424909,0.03453699,0.20923792,0.14335972,0.055675548,0.0729358,0.9341819,0.9244326
irony,"Networking , networking and networking - big message from today 's key note speakers #PRS2021",0,0.08521383,0.004096475,0.040502623,0.023415376,0.06889348,0.29302523,0.051471107,0.035090726,0.066139944,0.7544183,0.048195425,0.09319634
irony,Life is about eating chicken finger and getting drunk,1,0.041251373,0.0040059322,0.16224636,0.41472176,0.7305672,0.70750684,0.23328741,0.5312718,0.3959047,0.3069343,0.32027927,0.09861713
irony,"knew one coworker recently had a baby , but did n't send us pictures so far . People are curious , so I tacked up a stock photo of an ugly baby .",0,0.013586763,0.0027005302,0.135826,0.08122149,0.020353109,0.020825231,0.054760918,0.058113936,0.08337638,0.06721148,0.49271035,0.15132506
irony,My living room feels really lively now . I 'm recklessly sipping tea absorbing choons #TaeSup,1,0.27663934,0.0048507126,0.07837303,0.049046494,0.5181586,0.61984694,0.103319995,0.72692686,0.93322194,0.83676493,0.08890395,0.08205234
irony,I love a Monday morning so glad the weekends over !,1,0.98027486,0.008568059,0.98155737,0.98345584,0.9903562,0.9882081,0.96266437,0.9071585,0.9897573,0.9922935,0.977741,0.9538589
irony,wearing a cute jumpsuit is all fun and games until you have to go to the bathroom,1,0.48929268,0.0036717486,0.2403983,0.1432347,0.34650964,0.30879116,0.12932183,0.041201863,0.9723891,0.98204124,0.8516977,0.74854124
irony,Good morning September ... Hello tonsillitis :(,1,0.728183,0.006086048,0.19199368,0.5865337,0.9917629,0.98582643,0.25187555,0.04383271,0.71483743,0.97965825,0.82278126,0.5525255
irony,"My PS4 Pro has P . T on it , which is somewhat funny as it was taken down before the PS4 Pro was even released #konami #PT #SilentHills #Spooky #PlayableTeaser #Kojima",1,0.00637091,0.0026814637,0.029034078,0.083579354,0.9828804,0.9104121,0.1815844,0.6558553,0.018757863,0.032784145,0.6558031,0.21607426
irony,Today has made 4 years since ‘ The End ' and I 'm honestly about to cry . HTTPURL,0,0.0050332705,0.0024272986,0.0158402,0.048002057,0.024711303,0.020949095,0.037740864,0.034431074,0.33630374,0.14806736,0.049333774,0.06552141
irony,aquariums are just liquid zoos,0,0.73988605,0.0037173545,0.10332335,0.19161849,0.90457404,0.19913715,0.13158752,0.18044011,0.07382305,0.059111938,0.049139097,0.07416054
irony,I just absolutely LOVE how I 've got to work outside for the next 3 days in the heatwave . #sweatingmyballsoff,1,0.8842472,0.009747799,0.85343784,0.9605227,0.9922808,0.9912548,0.97516793,0.9678354,0.9906933,0.9882583,0.83534825,0.88953
irony,me : :( me after eating one blueberry : :),0,0.092942305,0.003319647,0.16387953,0.17979935,0.66755503,0.19439407,0.09704789,0.1328418,0.028801389,0.030409088,0.8687279,0.20511219
irony,:two_hearts: tip for baking bread ! :bread: :croissant: :baguette_bread: you can use the yeast in your dog 's ears to substitute active dry yeast or instant yeast in a pinch ! :two_hearts:,1,0.28118944,0.008317788,0.07773632,0.44103962,0.021402549,0.016556328,0.053981718,0.036772083,0.033347167,0.020085823,0.31381795,0.09877528
irony,"This weather is really making me want to put shorts on , flock to the beach and get the deck chair out ... Yeah right ! ! !",1,0.92703307,0.00596086,0.9019615,0.9015627,0.98949873,0.9874565,0.9732708,0.967486,0.98627394,0.9828839,0.928215,0.68827146
irony,"It was almost 70 degrees today but no , global warming does n't exist :unamused_face:",1,0.7499194,0.0030593364,0.97854453,0.76111025,0.94777536,0.8455242,0.95387334,0.9474437,0.9831322,0.9744777,0.9440083,0.88916767
irony,anyone else kinda like how it feels after you floss and ur gums are inflammed,0,0.20976788,0.0052480367,0.21379156,0.3908561,0.3546847,0.9154485,0.05519407,0.05003925,0.3760086,0.7176661,0.7183513,0.76539946
irony,"Ah yes , back spasms when I take a deep breath . This is :sparkles: 28 :sparkles: .",1,0.3074073,0.003702524,0.6609322,0.5943146,0.9923211,0.99086493,0.97599137,0.9726561,0.09687873,0.03455776,0.9165097,0.33008808
irony,Hey what 's the weather like today ? Am I going to need an umbrella ?,1,0.8492518,0.002342535,0.73102814,0.7405656,0.9768081,0.035223577,0.96170074,0.96192926,0.53980774,0.035198405,0.84518206,0.81342715
irony,@USER @USER This is all Biden 's failure ... politicians like to pass the buck,0,0.004784259,0.002299467,0.84417295,0.7043116,0.059444893,0.043261442,0.76407886,0.74912184,0.930008,0.98007137,0.9437783,0.9423024
irony,"HOT TAKE : Can we stop romanticizing the grind ? Yes there is value in hard work and determination . However , it is NOT HEALTHY to work yourself until you can hardly function as a human being . There 's a big difference here .",0,0.061846323,0.0028631154,0.17199612,0.37515068,0.03961944,0.028407812,0.0374025,0.030673066,0.7645644,0.927835,0.056112494,0.12030038
irony,You never realize how easy life really is until you can't breathe through your nose . :face_without_mouth:,0,0.028852317,0.0021002407,0.9557192,0.9078594,0.971847,0.9615258,0.95401555,0.9147585,0.30854964,0.07685799,0.6560696,0.93882126
irony,"No joke , air-fried Twisted Teas are THE BEST .",1,0.70666564,0.009636537,0.50330794,0.7388723,0.11334093,0.047037274,0.04700432,0.035283227,0.9532742,0.8644584,0.922281,0.33192
irony,Anyone else hear some like thunder or something ?,1,0.41102716,0.0032140561,0.42788517,0.34537825,0.05804117,0.028202202,0.07420807,0.05727232,0.07305147,0.027228901,0.14430918,0.8855558
irony,does anyone else buy pound cake in bulk from costco,0,0.50023776,0.005312165,0.2059343,0.3884539,0.08167888,0.026523255,0.08528713,0.088735655,0.055638555,0.03338423,0.66205025,0.16980259
irony,the vaccination man said i could have some heart problem stuff . i 'm being very brave,0,0.5586698,0.0032426605,0.33839095,0.48187786,0.9913083,0.98916876,0.29830062,0.84149,0.970681,0.96056145,0.06477914,0.33189595
irony,at softball practice tonight one of my girls accidentally stuck her foot into a GROUND HORNETS NEST and those hornets SWARMED like in the hunger games . y'all I can't catch a break with this team :face_with_tears_of_joy:,0,0.6278588,0.005608504,0.4406973,0.7724949,0.03576251,0.020165153,0.04160493,0.040390864,0.8935106,0.655012,0.70352167,0.8998455
irony,apple .. as much as i want to say ‘ abs ' . no . i am typing to type ‘ and ',0,0.023174742,0.003431609,0.08027891,0.017467016,0.054237753,0.021693522,0.055507813,0.057284895,0.03198552,0.026816953,0.102600284,0.06586137
irony,I wish I could watch Disney channel original movies on the old box TVs to get the full effect again,0,0.42480594,0.0037072913,0.25228393,0.231544,0.22682287,0.052994207,0.058293514,0.04395959,0.5597473,0.8478576,0.15115984,0.119919196
irony,@USER happy birthday ! !,0,0.0033692166,0.0026113605,0.196191,0.07658573,0.29740363,0.20002693,0.06732206,0.075053535,0.9717613,0.93923336,0.0491953,0.059003435
irony,"Yep , the only reason I 've stayed with 3 since Ovivo disappeared was the everywhere contract . If and when this reaches me then I 'm offski . @USER HTTPURL",0,0.0038001847,0.0017672292,0.03188729,0.034031846,0.013616313,0.024008483,0.74986213,0.91308355,0.016989402,0.028479818,0.078730136,0.094410725
irony,@USER @USER All / any updates are fully appreciated Mike . Many thanks,0,0.00412707,0.0028473455,0.19527881,0.036023967,0.046052583,0.07386117,0.08498182,0.065814294,0.33052132,0.4388806,0.051927615,0.088872835
irony,days before rodeo is Travis Scott 's best project,0,0.6571479,0.0042746956,0.21367261,0.24210419,0.12709166,0.04741591,0.06753268,0.05331407,0.12353449,0.9662035,0.59027725,0.08228665
irony,"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED , CRUSHED I TELL YOU . HTTPURL",1,0.0055670175,0.0026213725,0.045938052,0.083751515,0.057583783,0.022026189,0.11887649,0.13580698,0.10707262,0.085982636,0.098783225,0.32892653
irony,"Day 55 of Lockdown . Finally bought some jigsaw puzzles . Absolutely can not wait for them to come , highlight of my day ( maybe even year )",1,0.4547189,0.012442592,0.37997648,0.59124935,0.9334052,0.97130865,0.036799196,0.05592222,0.761664,0.8383447,0.22405273,0.29728636
irony,NOT OLIVIA RODRIGO TRAITOR IN THE BACKGROUND #LoveIsland,1,0.018123904,0.002577673,0.08764251,0.0631841,0.5412478,0.15131941,0.4133398,0.8136194,0.04131313,0.07756436,0.10588331,0.15421323
irony,I just love going out in the rain . It is so nice going to the park when it is pouring with rain . It is so cool to get mud in your hair and your socks drenched . I love it .,1,0.9186035,0.031352613,0.8628779,0.8721125,0.99253947,0.9913018,0.96902955,0.9728838,0.98759615,0.9795125,0.94864124,0.93818665
irony,"You know what makes a 15 minute wait for the bus even better , rum leaking all over the contents of your bag :see-no-evil_monkey: :tired_face:",1,0.7249997,0.0037771927,0.9521006,0.8984713,0.99253947,0.99131835,0.96506685,0.95152754,0.96166724,0.95977545,0.92370087,0.9640461
irony,bo burnham owes me absolutely nothing but i think he should put make happy on spotify i need to sob to the burrito song,0,0.12536712,0.0042722267,0.89329803,0.72351927,0.12093375,0.045352314,0.107061826,0.06606228,0.016926764,0.096148014,0.6061117,0.070680976
irony,Another gorgeous day in sunny Accrington !,1,0.93518716,0.008932103,0.33754107,0.75625545,0.9900496,0.98590475,0.068343654,0.06273366,0.9896416,0.970259,0.17272325,0.44776922
irony,Overthinking everything in life really takes a toll on you,1,0.012564783,0.0035996945,0.051073246,0.101905756,0.21184677,0.92962873,0.051294155,0.056091864,0.96594006,0.96293443,0.050892167,0.086213574
irony,wearing all manners of rings and chains bc i always have to be the sexiest person in the home depot,0,0.14032485,0.0039445153,0.90787804,0.50482833,0.9883736,0.98055637,0.95634395,0.9412322,0.54365116,0.93792015,0.9095754,0.107357055
irony,"I 've compiled a list to debunk the gatekeeping morons saying #StarWars is too "" male focussed "" . Leia Organa , Jyn Erso , Rey , Bastila and Satele Shan , Hera Syndulla , Padme , Iden Versio , Nightsister Merrin , Cere Junda , Asajj Ventress , Sabine Wren , Bo-Katan Kryze , Shaak Ti , ( 1 / )",0,0.038566343,0.0051124003,0.2107149,0.36263552,0.015858142,0.016544003,0.042817682,0.055134047,0.038523532,0.038540404,0.7944527,0.08483149
irony,Happy Birthday to Chris Lowe of Pet Shop Boys . Your music is the backbone of my existence . #chrislowe #happybirthdaychrislowe #petshopboys HTTPURL,0,0.003806452,0.0026460388,0.022586366,0.031763453,0.024737163,0.028953182,0.039646313,0.031900894,0.02177069,0.21032646,0.0491064,0.08862345
irony,I 'm ready for Lockdown # 2 . I need to make better bread .,0,0.053230837,0.0028482908,0.2215522,0.059765026,0.030434925,0.021715393,0.07184112,0.21134676,0.043937832,0.062171098,0.049969185,0.09074942
irony,Everybody loves Christmas ! It such a great time to be jolly !,1,0.70155656,0.027591951,0.9847972,0.9672331,0.98645055,0.99006605,0.258096,0.9570527,0.98251027,0.96972364,0.95539993,0.90016174
irony,HAPPY BIRTHDAY MEL ! ! !,0,0.031280555,0.006807571,0.10780681,0.10113464,0.6213799,0.7680908,0.05127253,0.044872675,0.9830918,0.960036,0.051977452,0.08228563
irony,"My poo is green , how festive .",1,0.3580475,0.0042721415,0.865283,0.43513992,0.9918996,0.99032545,0.9380205,0.961264,0.953657,0.94191813,0.9080822,0.7250253
irony,no more instagram . we must all return to scrapbooks .,1,0.056009613,0.002417971,0.11908777,0.085287385,0.6170686,0.15663093,0.33324572,0.87520456,0.014533503,0.043557078,0.060393207,0.7732575
irony,My favorite thing is that literally ONLY my @USER says I have to have a prescription for syringes that I 've been getting OTC for years . This is the kind of shit diabetics are facing .,0,0.5427876,0.003032005,0.082296394,0.21779445,0.992374,0.9909065,0.9713102,0.962927,0.9247439,0.51742685,0.0524277,0.07622225
irony,"Oh good , it 's time for the bi-monthly random power outage .",1,0.8454472,0.006975171,0.9599423,0.95785254,0.9924654,0.9910194,0.9713038,0.9706663,0.9846144,0.98545134,0.9632523,0.9552175
irony,"I really loved the drive into work today in the dark , wet , heavy rain",1,0.70604455,0.008950851,0.9409409,0.46748623,0.9921556,0.9910704,0.97506106,0.9700153,0.98957574,0.98616254,0.052864566,0.8705514
irony,It costs $ 0.00 to be a decent person :slightly_smiling_face:,0,0.2783741,0.0040445803,0.9765797,0.6527611,0.9826779,0.92054117,0.973127,0.964881,0.6117946,0.08605109,0.9488928,0.12691726
irony,the worst thing about coffee is that it looks so nice and then you drink it and it just isnt,0,0.29831237,0.0058989045,0.04706286,0.16966607,0.3503693,0.13706689,0.045443185,0.034580808,0.13146387,0.21908842,0.061169066,0.08994823
irony,High stakes legos,1,0.19926398,0.002811587,0.109935865,0.1620112,0.6941418,0.2963961,0.13949002,0.1390964,0.93509185,0.8888254,0.043601103,0.07456755
irony,It 's that time again . Please recommend some good period dramas and comedies .,0,0.28547427,0.010666142,0.6670057,0.34285384,0.18302464,0.038895708,0.04986446,0.093024,0.34441942,0.4386416,0.08530332,0.2146755
