tweet,label,index,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
maybe i’ll shut up about wisconsin drivers when y’all stop fuckin driving like that,0.0,318,1,14,7.34,40.06,97.09,1,14,21.43,85.71,57.14,57.14,21.43,14.29,7.14,0,7.14,0,0,7.14,7.14,0,0,21.43,7.14,21.43,7.14,0,7.14,0,0,0,0,0,0,28.57,0,7.14,0,0,0,7.14,0,0,0,21.43,0,14.29,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,0,7.14,0,0,0,0,14.29,0,0,7.14,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0
yeah i enjoy some oregano on a nice pasta dinner (dumps oregano on mac n cheese),1.0,61,1,16,98.55,11.66,1.63,99,16,12.5,68.75,43.75,31.25,6.25,6.25,6.25,0,0,0,0,0,12.5,6.25,0,12.5,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0,0,12.5,0,0,0,0,0,12.5,0
"Man-spider. The story of a spider who's bitten by a human and now has the powers of a human. Working in an office, wasting money on artisan coffee, and giving up his bus seat to a woman who turns out not to be pregnant, but just ""likes sandwiches you a-h*le"".
#IntoTheSpiderVerse",1.0,114,1,52,95.45,93.13,11.63,49.66,13,13.46,80.77,63.46,53.85,7.69,7.69,0,0,1.92,1.92,0,0,15.38,13.46,0,17.31,5.77,3.85,5.77,1.92,11.54,3.85,0,3.85,0,1.92,1.92,9.62,0,3.85,0,0,0,0,0,3.85,0,1.92,1.92,0,0,0,0,0,0,0,0,17.31,1.92,0,0,0,0,1.92,15.38,1.92,0,1.92,1.92,0,0,0,0,5.77,0,0,3.85,1.92,0,5.77,1.92,0,0,0,0,1.92,3.85,0,0,0,0,0,0,0,0,0,0,5.77,7.69,0,1.92,5.77,0,0,0,1.92,0,7.69,0,0,0,0,0,0,25,5.77,5.77,0,0,1.92,11.54,0
Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days 😭 tempted to quit teaching tbh,1.0,90,1,27,93.76,62.05,10.18,1,27,25.93,92.59,74.07,48.15,7.41,3.7,0,0,3.7,0,0,3.7,18.52,7.41,3.7,18.52,11.11,0,3.7,0,18.52,7.41,14.81,3.7,0,3.7,0,22.22,3.7,7.41,7.41,0,0,0,0,0,0,3.7,0,3.7,0,0,0,0,0,0,3.7,14.81,11.11,3.7,0,0,0,0,3.7,0,0,0,0,0,0,0,0,11.11,3.7,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.7,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,3.7,0,7.41,0,7.41,3.7,3.7,0,0,7.41,0,0,0,0,0,7.41,3.7
gaslight gatekeep girl boss,1.0,7,1,4,,99,,,4,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0,50,0,0,25,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore #freezing,1.0,59,1,21,18.12,1,99,,21,19.05,80.95,61.9,61.9,19.05,9.52,9.52,0,0,0,0,9.52,19.05,9.52,0,9.52,9.52,14.29,0,4.76,9.52,0,0,4.76,0,4.76,0,38.1,0,14.29,0,0,0,4.76,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,9.52,0,0,9.52,0,0,0,14.29,0,9.52,0,0,0,0,0,0,9.52,0,0,0,0,4.76,4.76,0
"@Rosievix @mouthwaite Well, illegal immigrants  categorically don’t get money from the government but why let a little thing like facts get in the way of a good bit of xenophobia...",1.0,123,1,30,97.77,40.06,7.03,20.23,30,23.33,86.67,63.33,46.67,3.33,0,0,0,0,0,0,3.33,13.33,13.33,0,16.67,3.33,6.67,3.33,3.33,13.33,3.33,6.67,3.33,0,0,3.33,10,0,6.67,0,3.33,0,0,0,3.33,0,13.33,6.67,6.67,3.33,3.33,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,10,10,6.67,0,3.33,0,0,0,3.33,0,3.33,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,16.67,6.67,0,0,6.67,0,0,0,0,0,3.33,0,0,0,0,0,0,23.33,10,3.33,0,0,3.33,6.67,0
2000s songs are so infectiously rhythmic and boppy i love it,0.0,245,1,11,1,5.27,50.45,99,11,18.18,90.91,45.45,45.45,18.18,9.09,9.09,0,0,0,0,9.09,0,0,9.09,0,9.09,9.09,18.18,0,9.09,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,9.09,9.09,0,9.09,9.09,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birds are not real and you cannot tell me otherwise.,1.0,168,1,10,1,1,98.38,,10,10,90,90,70,20,20,10,0,10,0,0,0,0,0,0,0,20,0,20,20,30,10,0,0,0,0,0,50,0,40,0,0,10,0,10,30,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,10,10,0,0,0,0,0,0
"Incredible scenes in Nottingham, as it begins to rain for the first time this hour.",1.0,143,1,15,98.78,,93.95,97.84,15,13.33,80,73.33,53.33,13.33,0,0,0,0,0,0,13.33,20,6.67,6.67,26.67,0,0,6.67,0,6.67,13.33,13.33,0,0,0,0,20,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,6.67,0,0,6.67,0,0,0,20,0,6.67,0,0,0,0,0,0,13.33,6.67,6.67,0,0,0,0,0
"Can we appreciate how amazing vaccines are? We've got covid cases declining despite nightclubs being open!
If we vaccinate school kids, we might even avoid a spike once the schools reopen.",0.0,217,1,31,11.71,99,35.88,97.31,10.33,25.81,83.87,54.84,48.39,12.9,12.9,0,12.9,0,0,0,0,9.68,6.45,3.23,3.23,16.13,9.68,3.23,0,22.58,3.23,3.23,12.9,12.9,0,0,29.03,0,19.35,6.45,3.23,3.23,6.45,0,6.45,0,6.45,6.45,0,6.45,6.45,0,0,0,0,0,19.35,3.23,3.23,0,0,0,0,16.13,0,0,0,0,0,0,0,0,6.45,0,0,6.45,0,0,9.68,9.68,9.68,0,0,0,0,0,0,0,0,3.23,0,0,0,0,3.23,0,3.23,3.23,0,0,3.23,0,0,0,3.23,3.23,6.45,3.23,0,0,0,0,0,16.13,3.23,3.23,3.23,3.23,3.23,0,0
I’m high and drinking coffee but my ADHD is still winning,0.0,309,1,11,1,1,99,99,11,18.18,100,63.64,54.55,18.18,18.18,18.18,0,0,0,0,0,9.09,0,0,0,18.18,9.09,18.18,0,18.18,9.09,0,9.09,0,9.09,0,27.27,0,9.09,0,0,0,0,0,9.09,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,9.09,0,0,9.09,0,0,18.18,0,0,0,0,0,0,0,9.09,0,0,18.18,9.09,0,0,9.09,0,0,0,0,0,18.18,0,0,0,0,0,0,9.09,0,0,0,0,9.09,0,0
I'm just living off salads and yogurt and loving it tbh,1.0,94,1,11,1.5,5.27,95.15,99,11,0,100,72.73,63.64,18.18,9.09,9.09,0,0,0,0,9.09,0,0,0,18.18,18.18,9.09,18.18,0,18.18,0,0,0,0,0,0,18.18,0,9.09,9.09,0,0,0,0,0,0,9.09,9.09,0,9.09,9.09,0,0,0,0,0,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,9.09,0,9.09,9.09,0,0,0,9.09,0,0,0,0,9.09,0,0
I just heard my voice in a video and I never want to speak again,0.0,332,1,15,10.19,1,99,,15,0,86.67,86.67,66.67,20,20,20,0,0,0,0,0,13.33,6.67,0,13.33,0,20,6.67,6.67,20,0,0,0,0,0,0,20,6.67,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,13.33,0,0,6.67,0,6.67,0,13.33,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Omicron:  Cases are going up, run for the hills.",1.0,162,1,9,99,,99,,9,11.11,66.67,55.56,44.44,0,0,0,0,0,0,0,0,11.11,11.11,0,22.22,11.11,0,0,0,22.22,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,22.22,11.11,0,0,0,0,0,11.11,11.11,0,0,0,0,0,33.33,11.11,11.11,0,0,0,11.11,0
"Like all humans, I make some decisions that go against the best interests of myself or others. One such decision is sometimes eating too much sugar, another was consuming animal products. I would love the government to nudge me towards better decisions. #NationalFoodStrategy",0.0,219,1,43,64.59,1,99,87.73,10.75,27.91,93.02,69.77,53.49,16.28,9.3,9.3,0,0,0,0,6.98,18.6,4.65,2.33,11.63,6.98,2.33,2.33,0,16.28,6.98,11.63,6.98,0,4.65,2.33,32.56,2.33,25.58,6.98,2.33,4.65,4.65,0,9.3,0,13.95,9.3,4.65,4.65,4.65,0,0,0,0,0,4.65,2.33,0,0,0,0,0,2.33,0,0,0,0,2.33,2.33,0,0,2.33,0,0,2.33,0,0,4.65,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,2.33,11.63,9.3,2.33,4.65,4.65,0,0,0,2.33,2.33,2.33,0,0,0,0,0,0,13.95,6.98,4.65,0,0,0,2.33,0
"I heard it might be snowing ??? Sounds fake, but okay??? Can anyone verify?????????",1.0,126,1,13,1,7.93,2.93,1,4.33,7.69,84.62,69.23,53.85,23.08,7.69,7.69,0,0,0,0,15.38,0,0,0,0,23.08,0,7.69,0,30.77,7.69,0,0,0,0,0,30.77,0,30.77,0,0,7.69,15.38,0,7.69,0,7.69,0,7.69,0,0,0,0,0,0,0,15.38,7.69,0,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,15.38,0,0,0,0,15.38,0,0,7.69,7.69,7.69,7.69,0,7.69,0,0,123.08,0,7.69,115.38,0,0,0,0
Replace Pelosi #Nancy,0.0,295,1,3,,,,,3,33.33,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,33.33,0
I was today years old when I learned what Ricky Martin looks like.,0.0,175,1,13,4.85,1,99,,13,7.69,84.62,76.92,46.15,23.08,15.38,15.38,0,0,0,0,7.69,0,0,0,7.69,7.69,7.69,7.69,0,23.08,7.69,7.69,0,0,0,0,46.15,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,0,0,0,7.69,0,0,30.77,15.38,15.38,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0
In sunny spain at the moment!!! Hows it all in england?,1.0,50,1,11,97.37,,99,,5.5,9.09,81.82,72.73,63.64,9.09,0,0,0,0,0,0,9.09,18.18,9.09,0,27.27,9.09,9.09,0,0,9.09,9.09,9.09,0,0,0,0,27.27,9.09,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,18.18,0,0,0,9.09,0,9.09,0,0,0,0,0,0,36.36,0,0,9.09,27.27,0,0,0
did anyone else get a notification from @NetflixUK saying american horror story s9 was available but doesn’t show up when you search for it?!,0.0,222,1,24,16.96,40.06,39.59,1,24,16.67,91.67,66.67,54.17,12.5,4.17,0,0,4.17,0,0,8.33,4.17,4.17,4.17,12.5,12.5,8.33,8.33,4.17,20.83,8.33,0,0,0,0,0,29.17,0,12.5,0,0,0,4.17,0,8.33,0,4.17,0,4.17,4.17,0,4.17,4.17,0,0,0,16.67,8.33,0,0,0,0,8.33,8.33,0,0,0,0,4.17,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,8.33,4.17,16.67,8.33,0,4.17,4.17,0,0,4.17,8.33,4.17,0,0,0,0,0,0,16.67,0,0,4.17,4.17,4.17,4.17,0
"as a poly dude, this ""boyfriends"" comic is really fucking adorable i dont trust no bitches who say its ""fetishy"" or ""not good representation"" i love them id die 4 them",0.0,246,1,31,1,1,17.19,70.91,31,19.35,96.77,64.52,51.61,25.81,19.35,9.68,0,0,0,6.45,6.45,12.9,3.23,3.23,3.23,9.68,3.23,6.45,9.68,16.13,3.23,0,6.45,6.45,0,0,25.81,3.23,16.13,0,0,3.23,3.23,3.23,6.45,0,22.58,9.68,6.45,9.68,9.68,0,0,0,0,6.45,25.81,9.68,0,0,0,0,3.23,16.13,0,6.45,0,6.45,0,0,0,0,3.23,3.23,0,0,0,0,6.45,0,0,0,0,0,3.23,0,3.23,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,6.45,0,3.23,3.23,0,0,0,22.58,0,3.23,0,0,0,19.35,0
"I was in no way prepared for the emotional wringing of my soul that #TalesFromtheLoop would put me through. And the score? Stunning. If you want something beautiful, intelligent and unique to watch, give it a go. It’s on Amazon Prime. I’m off for a lie down and a cry.",0.0,253,1,50,74.19,7.28,49.13,50.98,8.33,18,92,82,60,18,10,8,0,2,0,0,8,14,10,0,18,8,0,8,2,20,10,0,0,0,0,0,24,4,10,0,0,4,4,0,4,0,10,4,2,6,0,2,0,0,2,0,10,6,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,12,4,4,6,2,0,0,0,2,6,2,0,0,0,0,0,22,10,4,2,0,4,2,0
Markets already down,0.0,297,1,3,89.52,,99,,3,66.67,100,66.67,66.67,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"@SrutisJay one of them smonks weed so it's super worth it /s",1.0,64,1,12,2.87,84.23,,99,12,8.33,66.67,58.33,50,25,8.33,0,0,0,0,8.33,16.67,8.33,0,8.33,8.33,8.33,8.33,8.33,0,8.33,8.33,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,25,0,0,0,0,8.33,16.67,0
"Hey @Honda, any chance we could see a civic in Rocket League? 😉",0.0,269,1,12,89.52,99,1,,6,0,83.33,66.67,41.67,8.33,8.33,0,8.33,0,0,0,0,16.67,8.33,0,8.33,8.33,0,0,0,16.67,8.33,0,16.67,16.67,0,0,25,0,25,0,0,8.33,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8.33,0,0,0,0,8.33,16.67,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,8.33,8.33,0,0,0,0,0,0,8.33,8.33,0,0,0,25,0,8.33,8.33,0,0,8.33,8.33
watching twilight with sam and i cannot wait to see his reaction to animatronic renesmee baby,0.0,317,1,16,62.1,11.66,1.63,,16,31.25,75,62.5,43.75,12.5,12.5,6.25,0,0,6.25,0,0,6.25,0,0,18.75,6.25,0,6.25,6.25,18.75,0,0,0,0,0,0,12.5,0,12.5,0,6.25,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,12.5,6.25,0,0,12.5,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anthony dropped his phone in the ocean,0.0,226,1,7,99,97.11,24.32,,7,28.57,71.43,57.14,42.86,14.29,14.29,0,0,0,14.29,0,0,28.57,14.29,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,0,0,0,0,14.29,14.29,0,0,0,14.29,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
